Date,WaterLevel
2003/1/22,303.565
2003/2/26,303.346
2003/5/7,302.917
2003/6/11,303.306
2003/7/16,303.351
2003/8/20,303.448
2003/9/24,303.243
2004/1/7,303.082
2004/2/11,303.29
2004/3/17,303.768
2004/4/21,303.191
2004/5/26,303.924
2004/6/30,303.77
2004/8/4,303.788
2004/9/8,303.199
2004/10/13,302.46
2004/11/17,302.491
2004/12/22,302.875
2005/1/26,302.547
2005/3/2,302.664
2005/4/6,302.939
2005/5/11,302.881
2005/6/15,303.39
2005/7/20,302.976
2005/8/24,302.739
2005/9/28,302.949
2005/11/2,303.168
2005/12/7,302.795
2006/1/11,302.736
2006/2/15,302.866
2006/3/22,302.934
2006/4/26,303.308
2006/5/31,303.874
2006/7/5,303.888
2006/8/9,302.884
2006/9/13,302.192
2006/10/18,302.719
2006/11/22,303.308
2006/12/27,303.174
2007/3/7,303.445
2007/4/11,303.862
2007/5/16,303.098
2007/6/20,303.081
2007/7/25,302.317
2007/8/29,301.72
2007/10/3,301.574
2007/11/7,302.254
2007/12/12,303.121
2008/1/16,303.141
2008/2/20,302.851
2008/3/26,303.202
2008/4/30,303.282
2008/6/4,303.887
2008/7/9,303.819
2008/8/13,303.039
2008/9/17,302.177
2008/10/22,301.443
2008/11/26,301.896
2008/12/31,301.78
2009/2/4,302.348
2009/3/11,302.228
2009/4/15,301.684
2009/5/20,301.72
2009/6/24,301.754
2009/7/29,301.314
2009/9/2,300.626
2009/10/7,300.927
2009/11/11,301.549
2009/12/16,302.097
2010/1/20,302.383
2010/2/24,302.5
2010/3/31,303.005
2010/5/5,302.688
2010/6/9,303.037
2010/7/14,302.854
2010/8/18,302.133
2010/9/22,301.928
2016/7/1,302.854
2016/8/24,303.28
2016/9/20,302.911
2016/10/17,302.865
2016/11/13,302.978
2016/12/10,302.357
2017/1/6,303.906
2017/2/2,303.967
2017/3/1,302.952
2017/3/28,302.752
2017/4/24,303.513
2017/5/21,303.991
2017/6/17,303.472
2017/7/14,303.04
2017/8/10,302.853
2017/9/6,302.758
2017/10/3,302.94
2017/10/30,302.78
2017/11/26,302.558
2017/12/23,302.315
