Date,WaterLevel
2002/7/28,527.633
2002/9/1,526.82
2002/10/6,527.558
2002/11/10,527.512
2002/12/15,527.76
2003/1/19,528.111
2003/2/23,528.908
2003/5/4,532.252
2003/6/8,533.002
2003/7/13,533.191
2003/8/17,532.984
2003/9/21,532.912
2003/11/30,531.456
2004/1/4,533.578
2004/3/14,535.125
2004/4/18,536.512
2004/5/23,536.277
2004/6/27,536.323
2004/9/5,534.46
2004/10/10,533.981
2004/11/14,535.585
2004/12/19,536.216
2005/1/23,536.062
2005/2/27,535.324
2005/4/3,534.937
2005/5/8,535.602
2005/6/12,535.492
2005/8/21,534.282
2005/9/25,532.766
2005/10/30,532.2
2005/12/4,534.562
2006/2/12,534.9
2006/3/19,535.416
2006/4/23,536.044
2006/7/2,533.282
2006/9/10,532.578
2006/10/15,532.393
2006/11/19,534.183
2007/1/28,534.908
2007/3/4,534.899
2007/4/8,534.857
2007/5/13,535.117
2007/8/26,532.435
2007/9/30,532.116
2007/11/4,531.242
2008/1/13,530.262
2008/2/17,530.837
2008/3/23,531.01
2008/4/27,530.983
2008/6/1,530.657
2008/7/6,529.461
2008/8/10,528.727
2008/9/14,527.631
2008/10/19,527.919
2008/11/23,527.334
2008/12/28,526.002
2009/3/1,528.555
2009/3/11,528.68
2009/3/31,529.291
2009/4/12,529.467
2009/4/19,529.408
2009/4/29,528.862
2009/5/17,528.388
2009/5/29,528.105
2009/6/21,527.156
2009/7/8,527.34
2009/7/26,527.43
2009/7/28,527.155
2009/8/6,526.836
2009/8/26,526.394
2009/8/30,526.84
2009/10/4,527.232
2009/10/15,526.868
2009/11/8,527.649
2009/11/24,527.426
2009/12/3,527.44
2009/12/13,527.62
2010/1/2,528.333
2010/2/21,531.13
2010/3/3,531.323
2010/3/23,531.442
2010/3/28,531.972
2010/4/11,532.771
2010/4/21,533.234
2010/5/2,533.822
2010/5/31,535.679
2010/6/10,535.635
2010/6/20,535.568
2010/6/30,535.566
2010/7/11,535.799
2010/7/20,534.891
2010/7/25,535.05
2010/8/8,535.123
2010/8/15,534.996
2010/8/18,534.801
2010/9/19,534.275
2010/9/27,533.973
2010/10/27,533.335
2010/11/6,533.654
2010/12/15,534.322
2011/1/11,534.752
2011/1/14,535.031
2011/1/24,535.192
2011/2/3,534.984
2011/2/9,535.567
2011/2/23,535.285
2011/4/1,535.373
2011/4/5,536.035
2011/4/13,536.324
2011/4/23,536.176
2011/4/30,536.229
2011/6/12,536.545
2011/6/22,536.378
2011/7/21,535.434
2011/7/24,535.612
2011/7/28,535.829
2011/8/20,534.679
2011/8/22,535.124
2011/8/26,534.642
2011/8/30,534.351
2011/9/9,534.456
2011/10/9,533.903
2011/10/16,534.078
2011/10/29,534.152
2011/11/14,534.136
2011/11/17,534.459
2011/12/7,535.101
2011/12/17,535.126
2011/12/27,535.46
2012/1/9,535.467
2012/1/16,535.905
2012/1/26,536.049
2012/2/5,536.789
2012/2/15,536.623
2012/4/3,537.546
2012/5/2,537.904
2012/5/7,537.718
2012/7/30,537.259
2012/10/19,534.072
2012/11/17,533.69
2013/1/12,535.003
2013/2/9,536.806
2013/2/14,536.902
2013/4/11,537.742
2013/4/24,537.585
2013/5/5,537.718
2013/5/10,537.587
2013/5/29,537.498
2013/7/3,537.084
2013/7/29,536.28
2013/8/3,536.371
2013/8/7,535.882
2013/8/27,535.398
2013/9/11,534.662
2013/10/22,535.077
2013/10/26,534.855
2013/11/20,536.064
2013/12/25,535.763
2014/1/15,535.764
2014/2/13,535.808
2014/2/17,536.216
2014/4/9,536.365
2014/4/10,536.394
2014/4/14,536.039
2014/5/9,535.867
2014/5/13,535.84
2014/5/14,535.864
2014/6/18,535.346
2014/7/23,534.615
2014/8/1,534.143
2014/8/6,533.975
2014/8/27,533.401
2014/10/1,532.182
2014/10/25,531.905
2014/11/28,531.717
2014/12/10,531.851
2015/1/18,532.472
2015/2/16,532.094
2015/2/18,532.249
2015/3/25,532.836
2015/4/13,534.013
2015/5/12,534.493
2015/5/16,534.552
2015/6/3,534.724
2015/6/14,534.86
2015/7/8,534.446
2015/8/5,533.489
2015/8/9,533.398
2015/8/12,533.466
2015/9/3,533.154
2015/9/16,532.851
2015/10/21,533.245
2015/11/2,533.675
2015/11/26,533.235
2015/12/1,533.684
2016/1/21,533.996
2016/2/19,534.376
2016/2/24,534.116
2016/4/13,533.06
2016/5/14,533.259
2016/5/18,533.323
2016/5/19,533.145
2016/6/16,532.923
2016/6/22,532.706
2016/8/7,530.974
2016/9/9,530.112
2016/11/4,528.947
2016/11/5,529.156
2016/11/15,529.32
2016/11/29,529.249
2016/12/5,529.847
2016/12/15,529.779
2017/1/3,529.649
2017/1/13,530.096
2017/2/21,530.715
2017/2/26,531.475
2017/3/14,532.022
2017/5/17,532.395
2017/8/10,530.443
2017/9/8,530.299
2017/11/7,529.973
2017/12/2,529.772
2017/12/6,529.549
