Date,WaterLevel
2009/1/10,104.635
2009/1/30,104.813
2009/2/8,104.836
2009/2/18,104.905
2009/3/10,104.652
2009/3/20,104.726
2009/3/30,104.66
2009/4/9,104.744
2009/4/19,104.38
2009/4/29,104.833
2009/5/9,105.081
2009/5/19,104.829
2009/5/28,104.596
2009/6/17,105.05
2009/6/27,104.763
2009/7/7,104.759
2009/7/17,104.58
2009/7/27,104.446
2009/8/6,104.426
2009/8/16,105.155
2009/8/26,104.36
2009/9/5,104.493
2009/9/15,104.224
2009/9/24,104.511
2009/10/4,104.659
2009/10/14,104.589
2009/10/24,104.623
2009/11/3,104.636
2009/11/13,104.64
2009/11/23,104.451
2009/12/3,104.445
2009/12/13,104.361
2009/12/23,104.835
2010/1/2,104.952
2010/1/12,104.79
2010/1/21,104.545
2010/1/31,104.855
2010/2/10,104.219
2010/2/20,104.775
2010/3/2,105.279
2010/3/12,105.376
2010/3/22,104.639
2010/4/1,104.559
2010/4/11,105.105
2010/4/21,104.655
2010/5/1,104.567
2010/5/11,105.246
2010/5/20,104.847
2010/5/30,104.774
2010/6/9,104.869
2010/6/29,104.806
2010/7/9,105.079
2010/7/19,104.77
2010/7/29,104.648
2010/8/8,104.367
2010/8/18,105.127
2010/8/28,105.013
2010/9/7,104.237
2010/9/16,105.018
2010/9/26,105.272
2010/10/26,104.992
2010/11/5,104.699
2010/11/15,104.703
2010/11/25,104.535
2010/12/5,105.222
2010/12/15,104.933
2011/1/23,104.935
2011/2/12,104.905
2011/3/14,104.971
2011/3/24,104.844
2011/4/3,104.875
2011/4/13,104.913
2011/4/23,104.741
2011/5/3,104.234
2011/5/22,104.751
2011/6/11,104.53
2011/6/21,104.801
2011/7/1,104.895
2011/7/11,104.406
2011/7/21,104.598
2011/7/31,104.507
2011/8/10,104.988
2011/8/20,104.34
2011/8/29,104.898
2011/9/8,105.065
2011/9/18,104.118
2011/9/28,104.252
2011/10/8,104.163
2011/10/18,104.25
2011/10/28,104.647
2011/11/7,104.464
2011/11/17,104.124
2011/11/27,104.368
2011/12/7,104.006
2011/12/26,104.467
2012/1/5,104.407
2012/1/15,104.521
2012/1/25,104.705
2012/2/4,103.908
2012/2/14,104.409
2012/2/24,104.559
2012/3/5,104.325
2012/3/15,104.504
2012/3/25,104.538
2012/4/4,104.167
2012/4/14,104.111
2012/4/23,104.696
2012/5/3,104.368
2012/5/13,104.105
2012/6/2,104.297
2012/6/12,104.509
2012/6/22,104.478
2012/7/2,104.256
2012/7/12,104.008
2012/7/22,104.274
2012/8/1,104.351
2012/8/11,104.12
2012/8/20,104.473
2012/8/30,104.512
2012/9/9,104.324
2012/9/19,104.24
2012/9/29,104.076
2012/10/9,103.911
2012/10/19,104.009
2012/10/29,104.1
2012/11/8,104.21
2012/11/18,104.006
2012/11/28,104.33
2012/12/8,104.021
2012/12/17,104.326
2012/12/27,104.17
2013/1/6,104.069
2013/1/16,104.508
2013/1/26,104.634
2013/2/5,104.442
2013/2/25,104.808
2013/3/7,104.569
2013/3/17,105.149
2013/4/15,104.519
2013/4/25,104.912
2013/5/15,104.791
2013/5/25,104.762
2013/6/4,103.998
2013/6/14,104.696
2013/6/24,104.877
2013/7/4,104.594
2013/7/24,104.657
2013/8/3,104.38
2013/8/12,104.322
2013/8/22,104.491
2013/9/1,104.475
2013/9/21,104.349
2013/10/1,104.459
2013/10/11,104.579
2013/10/21,104.598
2013/10/31,104.012
2013/11/10,104.688
2013/11/20,104.761
2013/11/29,104.689
2013/12/9,104.517
2013/12/19,104.737
2013/12/29,105.059
2014/1/8,105.337
2014/1/18,104.092
2014/1/28,105.084
2014/2/7,104.706
2014/2/17,105.145
2014/2/27,104.616
2014/3/19,105.211
2014/3/28,104.871
2014/4/7,104.865
2014/4/17,104.85
2014/4/27,104.79
2014/5/7,104.875
2014/5/17,105.286
2014/5/27,104.755
2014/6/6,104.805
2014/6/16,104.682
2014/7/6,105.017
2014/7/16,104.705
2014/7/25,105.047
2014/8/4,104.805
2014/8/14,105.09
2014/8/24,104.821
2014/9/3,105.404
2014/9/23,105.009
2014/10/3,105.242
2014/10/13,105.045
2014/11/2,105.067
2014/11/12,105.073
2014/11/21,105.105
2014/12/11,104.774
2014/12/31,104.925
2015/1/10,105.178
2015/1/20,104.922
2015/1/30,104.538
2015/2/9,105.021
2015/2/19,104.75
2015/3/1,105.31
2015/3/11,104.929
2015/3/30,104.909
2015/4/9,104.774
2015/4/19,105.174
2015/4/29,105.136
2015/5/9,104.856
2015/5/19,104.451
2015/5/29,105.286
2015/6/8,105.073
2015/6/18,105.105
2015/6/28,105.011
2015/7/8,104.807
2015/7/17,104.994
2015/7/27,104.865
2015/8/6,104.843
2015/8/16,104.96
2015/8/26,104.505
2015/9/5,104.52
2015/9/15,104.522
2015/10/5,104.313
2015/10/25,104.107
2015/11/4,104.751
2015/11/13,105.308
2015/11/23,104.808
2015/12/3,104.977
2015/12/13,104.436
2015/12/23,105.086
2016/1/2,104.736
2016/1/12,105.021
2016/2/1,105.207
2016/2/11,105.136
2016/2/21,105.46
2016/3/1,104.988
2016/3/11,104.863
2016/3/21,104.932
2016/3/31,105.068
2016/4/10,104.583
2016/4/20,105.334
2016/4/30,104.791
2016/5/10,104.813
2016/5/20,105.085
2016/5/30,105.076
2016/6/9,104.937
2016/6/19,105.271
2016/6/21,104.704
2016/6/28,104.606
2016/7/5,104.766
2016/7/8,104.774
2016/7/18,104.994
2016/7/28,104.976
2016/8/1,104.717
2016/8/7,104.022
2016/8/17,104.81
2016/8/27,104.699
2016/8/28,104.711
2016/9/6,104.425
2016/9/10,104.463
2016/9/16,104.717
2016/9/24,104.703
2016/9/26,104.702
2016/10/6,104.539
2016/10/7,104.643
2016/10/16,105.189
2016/10/21,104.597
2016/10/25,105.09
2016/11/3,104.7
2016/11/4,104.57
2016/11/14,104.632
2016/11/17,104.765
2016/11/24,105.154
2016/11/30,104.745
2016/12/4,105.237
2016/12/14,104.71
2016/12/24,104.754
2016/12/27,104.763
2017/1/3,105.228
2017/1/10,104.663
2017/1/13,105.149
2017/1/23,104.594
2017/2/2,105.158
2017/2/6,104.707
2017/2/12,105.044
2017/2/19,104.711
2017/2/21,105.101
2017/3/3,105.06
2017/3/5,104.663
2017/3/13,104.756
2017/3/18,104.67
2017/3/23,105.155
2017/4/1,104.684
2017/4/2,104.774
2017/4/12,104.74
2017/4/14,104.692
2017/4/22,104.719
2017/4/28,104.555
2017/5/2,104.973
2017/5/11,104.624
2017/5/12,104.67
2017/5/22,104.959
2017/5/25,104.666
2017/6/1,105.009
2017/6/7,104.651
2017/6/11,104.728
2017/6/20,104.78
2017/6/21,104.651
2017/6/30,104.583
2017/7/4,104.681
2017/7/10,104.708
2017/7/18,104.58
2017/7/20,104.7
2017/7/30,104.833
2017/7/31,104.541
2017/8/9,104.418
2017/8/14,104.543
2017/8/19,104.778
2017/8/27,104.508
2017/8/29,104.3
2017/9/8,104.758
2017/9/10,104.419
