Date,WaterLevel
2002/2/24,1121.739
2002/3/6,1121.81
2002/4/14,1121.951
2002/5/14,1122.221
2002/6/13,1122.187
2002/7/22,1122.078
2002/8/1,1121.934
2002/8/11,1121.889
2002/8/31,1121.688
2002/9/10,1121.718
2002/10/20,1121.591
2002/10/30,1121.571
2002/11/18,1121.727
2003/1/7,1121.678
2003/2/16,1122.028
2003/4/26,1122.504
2003/5/26,1122.53
2003/6/5,1122.57
2003/6/25,1122.488
2003/7/14,1122.325
2003/7/24,1122.3
2003/8/13,1122.126
2003/8/23,1122.029
2003/9/2,1122.11
2003/9/12,1121.901
2003/9/22,1121.921
2003/10/2,1121.642
2003/10/12,1121.891
2003/10/21,1121.896
2003/10/31,1121.862
2003/12/20,1121.962
2004/2/8,1122.228
2004/3/28,1122.668
2004/4/7,1122.549
2004/4/17,1122.509
2004/4/27,1122.553
2004/5/7,1122.638
2004/5/27,1122.659
2004/6/15,1122.572
2004/7/5,1122.518
2004/7/15,1122.428
2004/7/25,1122.424
2004/8/4,1122.322
2004/8/14,1122.296
2004/9/3,1122.084
2004/9/23,1122.008
2004/10/3,1121.964
2004/10/12,1121.833
2004/10/22,1121.848
2004/11/1,1121.921
2004/11/21,1121.88
2004/12/11,1121.856
2005/2/8,1121.825
2005/3/10,1121.937
2005/3/20,1121.976
2005/3/30,1122.045
2005/4/19,1121.895
2005/5/9,1121.982
2005/5/29,1121.712
2005/6/17,1121.74
2005/6/27,1121.747
2005/7/17,1121.651
2005/8/6,1121.431
2005/8/16,1121.542
2005/9/5,1121.214
2005/9/15,1121.215
2005/10/4,1121.157
2005/12/3,1121.037
2005/12/13,1121.154
2006/3/2,1121.443
2006/3/12,1121.452
2006/3/22,1121.526
2006/5/1,1121.761
2006/5/11,1121.691
2006/5/30,1121.7
2006/6/9,1121.657
2006/6/19,1121.575
2006/6/29,1121.504
2006/7/9,1121.484
2006/7/19,1121.427
2006/8/8,1121.369
2006/8/18,1121.253
2006/9/7,1121.13
2006/9/26,1120.369
2006/12/15,1121.285
2007/2/2,1121.422
2007/3/4,1121.621
2007/3/14,1121.643
2007/4/3,1121.706
2007/4/13,1121.731
2007/4/23,1121.506
2007/5/22,1121.516
2007/6/1,1121.521
2007/6/11,1121.579
2007/6/21,1121.513
2007/7/1,1121.42
2007/8/20,1120.97
2007/9/8,1120.984
2007/9/18,1120.868
2007/9/28,1120.852
2007/10/18,1120.664
2007/11/27,1120.946
2008/1/25,1121.377
2008/3/25,1121.428
2008/5/3,1121.517
2008/5/13,1121.448
2008/6/12,1121.47
2008/6/22,1121.352
2008/7/2,1121.338
2008/8/1,1121.048
2008/8/11,1120.967
2008/8/20,1120.96
2008/8/30,1120.887
2008/9/9,1120.868
2008/9/19,1120.689
2008/9/29,1120.801
2008/10/9,1120.804
2008/10/19,1120.872
2008/11/18,1120.779
2008/11/28,1120.82
2009/1/6,1121.015
2009/1/26,1121.042
2009/2/5,1121.22
2009/2/15,1121.454
2009/2/25,1121.625
2009/3/17,1121.827
2009/3/27,1122.027
2009/4/15,1122.187
2009/4/25,1122.105
2009/5/5,1122.338
2009/5/25,1122.365
2009/6/4,1122.372
2009/6/14,1122.325
2009/6/24,1122.338
2009/7/14,1122.193
2009/7/24,1122.143
2009/8/3,1122.091
2009/8/12,1121.983
2009/8/22,1121.994
2009/9/1,1121.831
2009/9/11,1121.728
2009/10/1,1121.722
2009/10/11,1121.827
2009/10/21,1121.805
2009/10/31,1121.749
2009/11/20,1121.833
2009/11/30,1121.852
2009/12/19,1121.886
2009/12/29,1122.098
2010/1/28,1122.371
2010/2/7,1122.399
2010/3/9,1122.806
2010/3/19,1122.826
2010/3/29,1122.914
2010/4/7,1122.85
2010/4/17,1122.863
2010/4/27,1122.846
2010/5/7,1122.928
2010/5/17,1122.848
2010/6/6,1122.679
2010/7/6,1122.763
2010/7/16,1122.682
2010/7/25,1122.664
2010/8/4,1122.616
2010/9/3,1122.334
2010/9/13,1122.262
2010/10/3,1122.181
2010/10/13,1122.089
2010/10/23,1122.152
2010/11/12,1122.287
2010/12/1,1122.293
2010/12/11,1122.218
2010/12/31,1122.387
2011/2/19,1122.686
2011/3/11,1122.768
2011/4/19,1122.954
2011/5/9,1123.056
2011/5/29,1123.117
2011/6/8,1123.305
2011/6/18,1123.082
2011/6/28,1123.096
2011/7/8,1123.065
2011/7/27,1122.87
2011/8/6,1122.87
2011/8/26,1122.664
2011/9/5,1122.553
2011/9/25,1122.599
2011/10/15,1122.59
2011/11/4,1122.549
2011/11/13,1122.518
2011/11/23,1122.486
2012/1/12,1122.8
2012/1/22,1122.938
2012/3/2,1123.215
2012/3/11,1123.446
2012/3/21,1123.487
2012/3/31,1123.695
2012/4/20,1123.987
2012/4/30,1124.033
2012/5/10,1124.106
2012/5/20,1124.149
2012/6/9,1124.096
2012/6/19,1124.095
2012/6/29,1124.024
2012/7/8,1123.872
2012/7/18,1123.822
2012/7/28,1123.792
2012/8/7,1123.644
2012/8/17,1123.589
2012/9/6,1123.422
2012/10/16,1123.418
2012/10/25,1123.371
2012/11/14,1123.257
2012/11/24,1123.191
2012/12/4,1123.202
2012/12/24,1123.451
2013/1/13,1123.465
2013/2/12,1124.035
2013/2/21,1123.987
2013/3/3,1123.997
2013/3/13,1124.072
2013/3/23,1124.139
2013/4/22,1124.065
2013/5/2,1124.166
2013/6/1,1124.027
2013/6/11,1124.009
2013/6/20,1123.777
2013/6/30,1123.66
2013/7/20,1123.412
2013/7/30,1123.286
2013/8/9,1123.197
2013/8/19,1123.209
2013/9/28,1122.876
2013/10/8,1122.918
2013/10/17,1122.848
2013/10/27,1122.983
2013/11/6,1122.88
2013/11/26,1122.853
2013/12/6,1122.8
2014/1/15,1122.989
2014/2/4,1123.097
2014/3/5,1123.216
2014/3/25,1123.304
2014/4/14,1123.234
2014/5/24,1123.035
2014/6/12,1122.908
2014/6/22,1122.795
2014/7/12,1122.656
2014/7/22,1122.546
2014/8/1,1122.344
2014/8/11,1122.336
2014/8/31,1122.016
2014/9/10,1122.108
2014/9/20,1122.086
2014/9/30,1122.086
2014/10/19,1121.917
2014/12/8,1122.078
2014/12/18,1122.093
2014/12/28,1122.266
2015/1/7,1122.287
2015/1/17,1122.421
2015/2/5,1122.705
2015/2/25,1122.646
2015/3/7,1122.763
2015/3/17,1122.909
2015/3/27,1123.021
2015/4/6,1123.236
2015/4/26,1123.293
2015/5/25,1123.273
2015/6/14,1123.354
2015/6/24,1123.257
2015/7/4,1123.175
2015/7/14,1123.227
2015/8/3,1122.894
2015/8/13,1122.633
2015/8/23,1122.792
2015/9/21,1122.606
2015/10/1,1122.608
2015/10/11,1122.575
2015/10/21,1122.616
2015/10/31,1122.548
2015/11/10,1122.569
2015/11/20,1122.662
2015/11/30,1122.48
2015/12/20,1122.42
2016/1/9,1122.571
2016/1/18,1122.648
2016/2/7,1122.764
2016/2/27,1122.725
2016/3/18,1122.801
2016/3/28,1122.742
2016/4/7,1122.51
2016/4/27,1122.674
2016/5/7,1122.602
2016/5/26,1122.576
2016/6/5,1122.535
2016/6/25,1122.441
2016/7/5,1122.292
2016/7/25,1122.15
2016/8/4,1122.023
2016/8/14,1122.007
2016/8/24,1121.939
2016/9/3,1121.858
2016/9/12,1121.887
