Date,WaterLevel
2003/1/13,518.667
2003/2/17,517.596
2003/4/28,518.679
2003/8/11,518.212
2003/9/15,518.585
2003/10/20,518.734
2003/12/29,518.472
2004/2/2,518.114
2004/3/8,518.299
2004/4/12,518.827
2004/5/17,518.808
2004/6/21,518.984
2004/7/26,518.767
2004/8/30,518.479
2004/10/4,518.852
2004/11/8,518.372
2004/12/13,517.987
2005/1/17,518.277
2005/2/21,517.917
2005/3/28,519.526
2005/5/2,519.264
2005/6/6,518.558
2005/7/11,519.62
2005/8/15,519.431
2005/9/19,519.045
2005/10/24,518.596
2005/11/28,518.044
2006/1/2,518.447
2006/2/6,517.509
2006/3/13,518.199
2006/4/17,519.268
2006/5/22,518.895
2006/6/26,518.729
2006/7/31,518.447
2006/9/4,518.68
2006/10/9,518.419
2006/11/13,518.548
2006/12/18,518.253
2007/1/22,518.334
2007/2/26,519.062
2007/4/2,518.164
2007/5/7,518.376
2007/6/11,518.574
2007/7/16,518.863
2007/8/20,518.186
2007/10/29,518.617
2007/12/3,518.777
2008/1/7,518.204
2008/2/11,518.222
2008/3/17,518.385
2008/4/21,518.643
2008/5/26,518.804
2008/6/30,518.457
2008/8/4,518.74
2008/9/8,518.474
2008/11/17,518.042
2008/12/22,518.361
2009/1/26,518.171
2009/3/2,518.299
2009/6/15,518.527
2009/7/20,519.047
2009/8/24,518.489
2009/9/28,518.323
2009/11/2,519.03
2009/12/7,518.25
2010/1/11,518.383
2010/2/15,517.677
2010/3/22,518.397
2010/4/26,518.177
2010/5/31,519.343
2010/8/9,519.151
2010/9/13,518.89
2010/10/18,518.372
