Date,WaterLevel
2003/1/21,395.085
2003/2/25,394.422
2003/6/10,395.462
2003/7/15,395.267
2003/8/19,394.829
2003/9/23,394.377
2003/10/28,394.798
2003/12/2,394.611
2004/1/6,394.471
2004/2/10,394.688
2004/3/16,394.653
2004/4/20,394.47
2004/5/25,395.261
2004/6/29,395.746
2004/8/3,395.659
2004/9/7,394.951
2004/10/12,394.931
2004/11/16,394.765
2004/12/21,394.583
2005/1/25,394.256
2005/3/1,394.485
2005/4/5,394.726
2005/5/10,395.498
2005/6/14,395.355
2005/7/19,395.201
2005/9/27,394.833
2005/11/1,394.61
2005/12/6,394.67
2006/1/10,394.263
2006/2/14,394.272
2006/3/21,394.749
2006/4/25,395.381
2006/5/30,395.824
2006/7/4,395.526
2006/8/8,395.475
2006/9/12,395.222
2006/10/17,394.749
2006/11/21,394.639
2006/12/26,394.414
2007/1/30,394.462
2007/3/6,394.702
2007/4/10,394.339
2007/5/15,394.799
2007/6/19,395.552
2007/7/24,395.714
2007/8/28,395.546
2007/10/2,395.022
2007/11/6,394.599
2008/1/15,394.177
2008/2/19,394.457
2008/3/25,394.321
2008/4/29,395.038
2008/6/3,395.469
2008/7/8,395.764
2008/8/12,395.427
2008/9/16,395.539
2008/10/21,394.304
2008/11/25,394.952
2008/12/30,394.877
2009/2/3,394.738
2009/5/19,395.345
2009/6/23,396.109
2009/7/28,395.941
2009/9/1,395.526
2009/12/15,394.852
2010/1/19,394.838
2010/3/30,394.837
2010/5/4,394.353
2010/6/8,396.01
2010/7/13,395.513
2010/8/17,396.051
2010/9/21,395.296
2013/5/30,395.362
2013/8/8,395.365
2013/9/12,394.955
2013/10/17,395.311
2013/11/21,395.36
2013/12/26,394.901
2014/1/30,394.74
2014/5/15,395.217
2014/6/19,395.042
2014/7/24,396.111
2014/10/2,395.309
2014/12/11,395.053
2015/1/15,395.308
2015/2/19,394.961
2015/3/26,394.929
2015/4/30,395.292
2015/6/4,395.83
2015/7/9,395.848
2015/8/13,395.118
2015/9/17,394.976
2015/10/22,395.131
2015/11/26,394.875
2015/12/31,394.614
