Date,WaterLevel
2013/1/24,144.2
2013/2/14,144.47
2013/3/12,144.54
2013/4/12,144.73
2013/5/31,144.66
2013/6/25,144.67
2013/7/19,144.54
2013/8/1,
2013/9/2,144.31
2013/9/30,144.16
2013/10/22,144.13
2013/11/25,144.18
2013/12/1,
2014/1/30,144.19
2014/2/17,144.35
2014/3/27,144.5
2014/4/9,144.54
2014/5/1,
2014/6/2,144.88
2014/6/30,144.9
2014/7/30,144.81
2014/8/1,
2014/9/3,144.72
2014/10/29,144.77
2014/11/27,144.84
2014/12/23,145.39
2015/1/29,145.46
2015/2/24,145.74
2015/3/26,146.16
2015/4/20,146.22
2015/5/25,146.42
2015/6/1,
2015/7/28,146.22
2015/8/31,146.08
2015/9/1,
2015/10/1,146.03
2015/10/29,146.16
2015/11/12,146.14
2015/12/14,146.19
2016/1/1,146.25
2016/2/1,146.4
2016/3/1,146.54
2016/4/1,146.69
2016/5/11,146.84
2016/6/1,146.75
2016/7/1,146.66
2016/8/11,146.58
2016/9/1,146.49
2016/10/25,146.4
2016/11/1,146.4
2016/12/14,146.4
2017/1/1,
2017/2/1,
2017/3/3,146.58
2017/4/25,146.61
2017/5/25,146.63
2017/6/29,146.69
2017/7/1,
2017/8/7,146.52
2017/9/28,146.25
2017/10/1,
2017/11/13,146.25
2017/12/11,146.38
