Date,WaterLevel
2004/1/11,493.48
2004/2/15,
2004/3/21,494.79
2004/4/25,497.87
2004/5/30,500.74
2004/7/4,498.75
2004/8/8,495.75
2004/9/12,490.26
2004/10/17,484.37
2004/11/21,487.13
2004/12/26,484.78
2005/1/30,481.72
2005/3/6,492.38
2005/4/10,497.69
2005/6/19,499.11
2005/7/24,495.07
2005/8/28,489.63
2005/10/2,485.79
2005/12/11,480.26
2006/1/15,
2006/2/19,492.95
2006/3/26,494.73
2006/4/30,498.17
2006/6/4,501.7
2006/7/9,498.1
2006/9/17,485.72
2006/10/22,483.99
2006/11/26,486.36
2006/12/31,486.39
2007/2/4,
2007/4/15,
2007/5/20,497.6
2007/6/24,498.41
2007/7/29,
2007/9/2,
2007/10/7,489.99
2007/11/11,486.87
2007/12/16,488.22
2008/1/20,481.79
2008/2/24,482.77
2008/3/30,487.45
2008/5/4,488.68
2008/6/8,
2008/7/13,486.47
2008/8/17,483.89
2008/9/21,
2008/10/26,
2008/11/30,480.94
2009/1/4,
2009/2/8,479.9
2009/3/15,481.15
2009/4/19,485.73
2009/5/24,488.65
2009/6/28,
2009/8/2,487.75
2009/9/6,485.23
2009/10/11,482.57
2009/11/15,483.38
2009/12/20,484.56
