Date,WaterLevel
2010/1/10,1808.14
2010/1/20,1808.44
2010/1/30,1808.6
2010/2/9,1808.38
2010/2/19,1808.64
2010/3/1,1807.99
2010/3/11,1808.05
2010/3/21,1808.31
2010/3/30,1808.47
2010/4/9,1808.5
2010/4/19,1808.21
2010/4/29,1808.3
2010/5/9,1808.88
2010/5/19,1808.89
2010/5/29,1809.13
2010/6/8,1809.07
2010/6/18,1809.21
2010/6/28,1808.62
2010/7/8,1808.32
2010/7/18,1808.46
2010/7/27,1808.84
2010/8/6,1808.25
2010/8/16,1808.52
2010/8/26,1808.47
2010/9/5,1808.99
2010/9/15,1808.65
2010/9/25,1808.58
2010/10/5,1808.36
2010/10/15,1808.14
2010/10/25,1807.76
2010/11/4,1807.84
2010/11/14,1807.87
2010/11/23,1807.96
2010/12/3,1807.97
2010/12/13,1808.22
2010/12/23,1808.11
2011/1/2,1808.2
2011/1/12,1807.98
2011/1/22,1807.98
2011/2/1,1808.32
2011/2/11,1808.17
2011/2/21,1807.86
2011/3/3,1808.07
2011/3/12,1808.11
2011/3/22,1807.98
2011/4/1,1808.67
2011/4/11,1808.6
2011/4/21,1808.55
2011/5/1,1808.46
2011/5/11,1808.83
2011/5/21,1808.69
2011/5/31,
2011/6/10,1808.89
2011/6/20,1808.48
2011/6/30,1808.48
2011/7/9,1808.5
2011/7/19,1808.71
2011/7/29,1808.69
2011/8/8,1808.75
2011/8/18,1808.6
2011/8/28,1808.57
2011/9/7,1808.91
2011/9/17,1808.92
2011/9/27,1808.02
2011/10/7,1807.92
2011/10/17,1807.99
2011/10/27,1808.11
2011/11/5,1808.15
2011/11/15,1807.9
2011/11/25,1807.98
2011/12/5,1808.19
2011/12/15,1808.14
2011/12/25,1808.74
2012/1/4,1808.75
2012/1/14,1808.23
2012/1/24,1808.28
2012/2/3,1808.26
2012/2/13,
2012/2/23,1808.22
2012/3/3,1808.32
2012/3/13,1808.53
2012/3/23,1807.86
2012/4/2,1808.48
2012/4/12,1808.28
2012/4/22,1808.78
2012/5/2,1809.46
