Date,WaterLevel
2000/1/1,677.167
2000/1/11,676.578
2000/2/9,676.953
2000/4/19,673.672
2000/5/9,675.509
2000/5/19,674.007
2000/7/7,675.664
2000/7/17,676.246
2000/8/6,676.151
2000/8/16,677.456
2000/9/5,676.387
2000/9/14,676.514
2000/9/24,677.871
2000/10/24,678.113
2000/11/23,676.921
2000/12/3,678.808
2000/12/13,678.516
2000/12/23,675.648
2001/1/11,676.17
2001/1/31,676.796
2001/2/20,675.258
2001/3/22,675.876
2001/4/1,675.243
2001/4/21,676.461
2001/5/30,677.941
2001/6/9,678.204
2001/6/29,678.796
2001/7/9,678.677
2001/7/19,678.599
2001/9/26,675.823
2001/10/6,676.06
2001/10/16,675.196
2001/10/26,675.792
2001/11/5,674.564
2001/11/25,674.755
2001/12/25,674.92
2002/1/13,675.98
2002/2/2,676.955
2002/2/12,677.599
2002/2/22,675.945
2002/3/4,676.929
2002/4/23,679.322
2002/5/12,680.422
2002/6/1,682.823
2002/6/21,683.29
2002/7/31,682.831
2002/8/19,683.083
2002/9/23,684.315
2002/10/28,684.757
2002/11/26,685.299
2002/12/2,685.161
2002/12/31,687.284
2003/2/10,686.218
2003/6/24,689.24
2003/6/30,689.016
2003/8/4,688.341
2003/9/8,685.886
2003/10/13,688.57
2003/11/17,689.757
2003/12/22,690.099
2004/1/26,690.62
2004/2/24,690.724
2004/3/1,690.806
2004/3/30,691.402
2004/4/5,691.592
2004/5/4,689.712
2004/6/8,691.333
2004/6/14,691.69
2004/8/23,690.173
2004/10/26,690.915
2004/11/1,691.348
2004/11/30,690.032
2005/1/4,689.056
2005/2/14,690.507
2005/3/21,690.926
2005/4/19,690.278
2005/4/25,689.673
2005/5/24,691.194
2005/5/30,691.672
2005/8/8,688.511
2005/9/6,689.251
2005/9/12,689.122
2005/11/15,690.591
2005/11/21,689.718
2006/3/6,690.47
2006/4/10,690.313
2006/5/9,691.249
2006/5/15,691.962
2006/6/13,690.048
2006/6/19,691.016
2006/7/24,688.464
2006/8/22,687.426
2006/8/28,687.643
2006/9/25,686.621
2006/10/2,686.586
2006/12/11,686.661
2007/1/15,686.207
2007/2/13,686.728
2007/3/26,687.83
2007/4/30,688.223
2007/5/29,688.44
2007/6/4,688.761
2007/7/3,687.695
2007/8/7,688.118
2007/8/13,688.676
2007/9/17,685.911
2007/10/16,684.657
2007/10/22,685.315
2007/11/26,683.367
2007/12/25,685.14
2007/12/31,685.801
2008/1/29,686.002
2008/2/4,685.588
2008/3/4,685.626
2008/3/10,685.054
2008/4/8,686.446
2008/4/14,687.562
2008/5/13,684.129
2008/5/19,684.915
2008/6/23,684.043
2008/7/22,683.706
2008/7/28,683.49
2008/8/19,682.521
2008/8/26,682.352
2008/9/1,682.498
2008/10/6,681.765
2008/11/10,680.812
2008/12/6,680.582
2008/12/15,680.176
2008/12/16,680.156
2009/1/5,680.108
2009/1/15,680.646
2009/1/19,680.539
2009/1/25,679.72
2009/2/13,680.468
2009/2/17,680.01
2009/2/23,680.475
2009/3/15,680.633
2009/4/14,682.632
2009/4/24,683.371
2009/5/4,683.576
2009/6/8,683.953
2009/6/22,683.601
2009/7/2,682.95
2009/7/7,682.618
2009/7/12,683.013
2009/7/13,682.841
2009/7/22,682.23
2009/8/1,682.232
2009/8/11,682.039
2009/8/17,682.075
2009/8/21,681.196
2009/9/10,681.471
2009/9/19,680.862
2009/9/21,680.549
2009/9/29,680.425
2009/10/19,680.873
2009/10/20,680.605
2009/10/26,680.365
2009/10/29,680.537
2009/11/28,680.096
2009/11/30,680.759
2009/12/18,680.819
2010/1/4,681.731
2010/1/7,681.123
2010/1/16,682.322
2010/2/5,683.265
2010/2/8,682.916
2010/2/15,684.039
2010/2/25,686.714
2010/3/7,689.245
2010/3/9,688.877
2010/3/15,690.054
2010/3/17,690.324
2010/3/27,690.75
2010/4/6,691.348
2010/4/13,691.087
2010/4/19,691.128
2010/5/15,691.901
2010/5/18,691.564
2010/5/24,691.613
2010/6/14,691.759
2010/6/24,691.807
2010/7/4,691.537
2010/7/14,690.453
2010/7/24,690.19
2010/8/2,690.948
2010/8/31,689.603
2010/9/2,689.399
2010/9/6,689.851
2010/9/21,689.664
2010/10/11,690.293
2010/11/10,690.373
2010/11/20,690.028
2010/11/30,690.38
2010/12/20,691.259
2010/12/30,690.517
2011/1/28,690
2011/2/7,689.123
2011/2/17,689.294
2011/3/19,688.609
2011/4/8,687.773
2011/4/28,686.791
2011/5/7,685.764
2011/5/17,686.541
2011/5/27,688.375
2011/6/6,689.796
2011/6/26,691.764
2011/7/16,691.391
2011/7/26,690.608
2011/8/15,690.613
2011/9/3,690.57
2011/9/23,690.508
2011/10/13,691.243
2011/10/23,691.506
2011/11/2,691.383
2011/11/12,691.597
2011/12/2,691.8
2011/12/12,691.388
2011/12/21,691.685
2011/12/31,691.844
2012/1/30,690.936
2012/2/19,689.195
2012/2/29,688.642
2012/3/30,690.57
2012/4/9,691.444
2012/5/18,688.957
2012/5/28,687.294
2012/6/7,686.939
2012/6/17,685.889
2012/6/27,685.811
2012/7/7,685.004
2012/7/17,684.277
2012/8/6,682.737
2012/8/25,681.624
2012/9/4,681.32
2012/9/14,679.941
2012/10/14,680.199
2012/10/24,681.362
2012/11/3,681.896
2012/11/13,682.362
2012/12/12,685.341
2012/12/22,685.904
2013/1/11,688.404
2013/1/21,688.78
2013/2/10,689.69
2013/2/20,689.781
2013/3/22,690.761
2013/4/20,690.315
2013/4/30,689.759
2013/5/10,689.442
2013/5/20,689.549
2013/5/30,689.513
2013/6/9,689.368
2013/6/19,689.087
2013/6/29,689.242
2013/7/19,687.738
2013/8/7,684.94
2013/8/17,685.741
2013/8/27,685.676
2013/9/16,686.017
2013/10/16,688.01
2013/10/26,687.496
2013/11/5,687.653
2013/11/15,688.204
2013/11/24,688.544
2013/12/4,688.906
2013/12/14,688.551
2014/1/3,687.859
2014/1/13,688.648
2014/1/23,688.831
