Date,WaterLevel
2013/1/9,627.08
2013/2/7,627.09
2013/3/7,627.27
2013/4/1,
2013/5/1,627.19
2013/6/1,
2013/7/17,627.07
2013/8/30,626.86
2013/9/1,
2013/10/22,626.84
2013/11/19,626.79
2013/12/12,626.86
2014/1/14,626.95
2014/2/4,627.01
2014/3/11,627.04
2014/4/9,627.13
2014/5/7,627.01
2014/6/12,627.09
2014/7/1,627.01
2014/8/13,626.84
2014/9/1,
2014/10/6,626.86
2014/11/5,626.86
2014/12/3,627.02
2015/1/22,626.96
2015/2/12,627.14
2015/3/4,627.16
2015/4/1,627.26
2015/5/21,627.17
2015/6/10,627.09
2015/7/1,
2015/8/6,626.99
2015/9/7,626.89
2015/10/14,626.98
2015/11/23,627.03
2015/12/16,627.17
2016/1/1,627.19
2016/2/1,627.21
2016/3/1,627.23
2016/4/1,627.25
2016/5/11,627.27
2016/6/28,627.21
2016/7/29,627.02
2016/8/23,626.88
2016/9/6,626.82
2016/10/19,626.81
2016/11/1,626.81
2016/12/1,626.81
2017/1/1,
2017/2/1,
2017/3/2,626.8
2017/4/1,
2017/5/10,627.16
2017/6/16,627.15
2017/7/26,626.96
2017/8/8,626.87
2017/9/14,626.69
2017/10/11,626.64
2017/11/24,626.75
2017/12/18,626.87
