Date,WaterLevel
2014/1/1,
2014/2/27,68.81
2014/3/31,68.77
2014/4/30,69.5
2014/5/15,68.93
2014/6/1,
2014/7/1,
2014/8/1,
2014/9/30,69.43
2014/10/1,
2014/11/5,69.16
2014/11/27,69.59
2014/12/19,70.32
2015/1/22,70.48
2015/2/5,70.8
2015/3/31,71.75
2015/4/21,71.84
2015/5/1,
2015/6/23,72.07
2015/7/31,71.26
2015/8/1,
2015/9/14,71.32
2015/10/13,71.97
2015/11/30,71.2
2015/12/16,71.14
2016/1/1,71.26
2016/2/1,71.37
2016/3/31,71.48
2016/4/1,71.6
2016/5/1,71.7
2016/6/1,71.6
2016/7/15,71.37
2016/8/2,71.04
2016/9/6,70.86
2016/10/27,70.84
2016/11/1,70.84
2016/12/9,70.84
2017/1/1,
2017/2/9,70.92
2017/3/10,70.93
2017/4/27,70.85
2017/5/24,70.76
2017/6/7,70.91
2017/7/13,70.7
2017/8/30,70.51
2017/9/29,70.35
2017/10/25,70.36
2017/11/28,70.39
2017/12/12,70.5
