Date,WaterLevel
2000/2/12,307.753
2000/4/12,317.13
2000/4/22,320.14
2000/5/21,325.877
2000/6/10,327.524
2000/6/30,326.828
2000/7/10,326.177
2000/7/30,322.803
2000/8/29,321.16
2000/9/8,320.299
2000/9/27,318.401
2000/11/6,314.776
2000/11/26,311.531
2000/12/6,310.388
2001/1/24,313.727
2001/2/3,312.053
2001/2/13,312.348
2001/3/15,314.257
2001/3/25,316.745
2001/4/4,318.51
2001/4/14,321.672
2001/4/24,323.954
2001/5/4,325.137
2001/5/23,326.086
2001/6/22,327.546
2001/7/12,326.815
2001/8/1,323.551
2001/8/31,318.181
2001/9/9,317.13
2001/10/9,313.233
2001/10/19,312.36
2002/1/16,312.798
2002/2/5,314.889
2002/2/15,315.667
2002/2/25,316.192
2002/3/7,317.599
2002/3/27,318.728
2002/4/16,323.626
2002/4/25,324.989
2002/5/25,329.808
2002/6/4,330.259
2002/6/14,329.785
2002/6/24,329.764
2002/7/19,327.74
2002/7/22,327.871
2002/7/24,327.483
2002/8/3,326.389
2002/8/23,323.85
2002/8/26,323.116
2002/9/27,318.885
2002/9/30,318.339
2002/11/4,314.443
2002/12/6,311.052
2003/1/10,311.351
2003/1/13,311.871
2003/5/30,327.667
2003/7/4,326.499
2003/7/7,325.935
2003/8/8,323.246
2003/8/11,322.586
2003/9/12,319.311
2003/9/15,318.828
2003/10/17,315.81
2003/10/20,315.429
2003/11/21,314.443
2003/11/24,314.935
2003/12/26,314.722
2004/1/30,317.863
2004/2/2,317.223
2004/3/5,316.807
2004/3/8,318.722
2004/4/12,320.44
2004/5/14,326.145
2004/5/28,328.08
2004/6/18,329.645
2004/7/23,327.17
2004/7/26,326.681
2004/8/15,324.394
2004/8/30,322.437
2004/10/1,318.204
2004/10/4,317.799
2004/11/8,313.486
2005/1/14,310.359
2005/2/18,312.151
2005/2/21,311.896
2005/3/25,319.187
2005/3/28,319.993
2005/4/29,325.009
2005/5/2,325.35
2005/6/3,328.142
2005/6/19,327.555
2005/7/8,326.416
2005/7/11,326.197
2005/8/12,323.106
2005/8/15,322.714
2005/9/16,318.35
2005/9/19,317.176
2005/10/21,314.871
2005/10/24,314.266
2005/11/5,313.404
2005/11/25,311.144
2005/12/30,307.947
2006/1/2,308.764
2006/2/3,310.043
2006/3/10,317.816
2006/3/13,317.691
2006/4/14,319.145
2006/4/17,318.555
2006/6/23,318.719
2006/6/26,318.538
2006/7/28,317.728
2006/7/31,317.683
2006/9/1,315.818
2006/9/4,315.817
2006/10/9,313.908
2006/10/18,313.294
2007/1/19,311.545
2007/1/22,311.516
2007/2/23,312.831
2007/2/26,312.908
2007/3/30,315.6
2007/5/4,318.483
2007/5/7,319.006
2007/6/8,318.941
2007/6/11,320.002
2007/7/13,318.879
2007/7/16,318.517
2007/8/17,315.426
2007/8/20,316.277
2007/9/21,313.695
2007/9/24,313.142
2007/10/26,310.414
2007/10/29,310.457
2007/12/3,309.904
2008/1/4,309.315
2008/1/7,308.448
2008/2/8,310.465
2008/2/11,310.974
2008/3/17,312.243
2008/4/5,314.673
2008/4/18,316.322
2008/4/21,316.019
2008/5/23,318.799
2008/5/26,318.318
2008/8/1,315.937
2008/8/4,315.842
2008/9/5,313.224
2008/9/8,312.579
2008/10/13,309.753
2008/11/14,308.132
2008/11/17,308.069
2008/12/19,306.473
2008/12/22,306.478
2009/1/18,305.367
2009/1/26,305.873
2009/1/27,305.927
2009/2/16,306.175
2009/3/2,307.241
2009/3/8,307.836
2009/3/18,311.068
2009/4/7,315.153
2009/4/27,318.287
2009/5/7,317.919
2009/5/11,319.097
2009/5/17,319.145
2009/5/26,319.186
2009/6/5,319.453
2009/6/12,318.906
2009/6/15,319.292
2009/6/25,318.912
2009/7/5,318.145
2009/7/15,318.158
2009/7/17,317.053
2009/7/20,317.132
2009/7/25,317.111
2009/8/4,316.491
2009/8/14,313.793
2009/8/24,314.227
2009/9/13,311.06
2009/9/22,309.676
2009/9/28,308.479
2009/10/2,307.995
2009/10/12,306.29
2009/10/22,304.929
2009/10/30,303.417
2009/11/1,303.075
2009/11/2,303.843
2009/12/1,303.345
2009/12/4,303.076
2009/12/7,301.747
2009/12/11,302.144
2010/2/8,306.064
2010/2/12,306.352
2010/2/18,306.087
2010/3/19,308.08
2010/3/20,308.58
2010/3/22,308.407
2010/3/30,309.019
2010/4/9,310.529
2010/4/19,312.545
2010/4/23,312.834
2010/4/29,314.146
2010/5/18,318.924
2010/5/28,319.152
2010/5/31,319.073
2010/6/7,319.362
2010/6/17,319.202
2010/6/27,319.34
2010/7/7,318.194
2010/7/17,317.751
2010/7/27,316.998
2010/8/6,316
2010/8/9,315.606
2010/8/16,315.223
2010/9/5,313.675
2010/9/10,311.536
2010/9/13,312.668
2010/9/14,312.201
2010/9/24,311.657
2010/10/4,310.218
2010/10/14,308.815
2010/10/15,308.652
2010/10/18,308.528
2010/10/24,308.044
2010/11/3,305.985
2010/11/13,305.262
2010/11/23,303.418
2010/12/23,300.843
2011/1/1,299.97
2011/1/11,299.879
2011/1/21,298.999
2011/2/10,298.972
2011/2/20,298.545
2011/3/12,299.111
2011/4/1,304.103
2011/5/20,319.062
2011/5/30,319.187
2011/6/9,319.56
2011/6/19,319.146
2011/7/9,318.654
2011/7/19,318.036
2011/7/29,317.605
2011/8/8,316.852
2011/8/18,315.503
2011/8/27,315.392
2011/9/6,314.375
2011/9/16,313.317
2011/9/26,312.046
2011/10/6,311.654
2011/10/16,310.358
2011/11/5,307.833
2011/11/25,307.164
2011/12/5,306.574
2011/12/24,304.729
2012/1/3,303.549
2012/1/13,302.432
2012/1/23,302.989
2012/2/12,303.554
2012/2/22,304.271
2012/5/1,317.153
2012/5/11,318.166
2012/5/21,319.343
2012/5/31,319.605
2012/6/10,319.62
2012/6/20,319.607
2012/6/30,318.951
2012/7/10,318.583
2012/7/20,318.396
2012/7/30,317.506
2012/8/9,316.761
2012/8/18,315.664
2012/8/28,315.189
2012/9/7,313.986
2012/9/17,313.225
2012/9/27,311.995
2012/10/7,310.64
2012/10/17,309.505
2012/10/27,308.412
2012/11/6,304.87
2012/11/26,305.929
2013/1/24,309.979
2013/3/15,310.305
2013/3/25,312.636
2013/4/13,315.045
2013/5/3,316.893
2013/5/13,318.327
2013/6/2,318.614
2013/6/12,318.976
2013/6/22,319.393
2013/7/2,319.178
2013/7/12,317.968
2013/7/22,319.327
2013/7/31,319.061
2013/8/10,318.865
2013/8/20,318.058
2013/8/30,317.4
2013/9/19,316.171
2013/9/29,315.203
2013/10/9,313.651
2013/10/19,312.704
2013/10/29,311.273
2014/1/6,307.122
2014/1/26,306.002
2014/2/15,308.224
2014/2/25,308.397
