Date,WaterLevel
2013/1/31,24.5
2013/2/27,24.53
2013/3/28,24.27
2013/4/30,23.99
2013/5/1,
2013/6/27,23.85
2013/7/30,23.89
2013/8/16,23.91
2013/9/26,23.99
2013/10/17,24.03
2013/11/6,24.13
2013/12/5,24.32
2014/1/9,
2014/2/13,24.52
2014/3/11,24.41
2014/4/23,24.07
2014/5/7,24.06
2014/6/25,23.81
2014/7/30,
2014/8/13,23.99
2014/9/25,24.09
2014/10/21,24.25
2014/11/17,24.29
2014/12/9,24.38
2015/1/29,
2015/2/19,24.43
2015/3/19,24.38
2015/4/8,24.17
2015/5/20,24.04
2015/6/17,24.01
2015/7/1,
2015/8/17,24.01
2015/9/15,24.04
2015/10/14,24.1
2015/11/1,
2015/12/23,24.05
2016/1/1,24.43
2016/2/1,24.38
2016/3/1,24.17
2016/4/1,24.04
2016/5/1,24.01
2016/6/1,23.96
2016/7/26,23.9
2016/8/24,23.99
2016/9/1,24.07
2016/10/1,24.15
2016/11/1,24.23
2016/12/8,24.31
2017/1/1,
2017/2/15,24.27
2017/3/7,24.16
2017/4/4,23.99
2017/5/31,23.86
2017/6/28,23.9
2017/7/1,
2017/8/2,23.91
2017/9/4,23.99
2017/10/17,24.13
2017/11/7,24.08
2017/12/6,24.48
