Date,WaterLevel
2013/1/11,469.18
2013/2/26,469.52
2013/3/20,469.39
2013/4/22,469.19
2013/5/27,469.17
2013/6/19,469.1
2013/7/1,
2013/8/1,
2013/9/24,468.62
2013/10/14,468.68
2013/11/29,469.02
2013/12/12,469.07
2014/1/17,468.85
2014/2/13,469.12
2014/3/13,469.16
2014/4/4,469.16
2014/5/20,469.17
2014/6/20,469.09
2014/7/17,468.92
2014/8/1,
2014/9/18,468.96
2014/10/9,468.97
2014/11/6,468.95
2014/12/4,469.29
2015/1/15,469.12
2015/2/13,469.44
2015/3/6,469.18
2015/4/3,469.21
2015/5/17,469.12
2015/6/19,469.07
2015/7/1,
2015/8/12,468.76
2015/9/25,468.63
2015/10/16,468.66
2015/11/9,468.68
2015/12/10,468.98
2016/1/1,469.05
2016/2/1,469.12
2016/3/1,469.16
2016/4/1,469.16
2016/5/1,469.17
2016/6/29,469.05
2016/7/18,469.07
2016/8/10,468.82
2016/9/21,468.88
2016/10/1,469.04
2016/11/15,469.19
2016/12/1,469.29
2017/1/1,
2017/2/1,
2017/3/10,469.1
2017/4/1,
2017/5/4,469.02
2017/6/15,468.93
2017/7/4,468.87
2017/8/2,468.57
2017/9/1,
2017/10/31,468.1
2017/11/24,468.24
2017/12/19,468.65
