Date,WaterLevel
2010/1/9,436.84
2010/1/29,439.802
2010/3/30,443.64
2010/4/9,443.348
2010/5/8,444.798
2010/6/17,444.371
2010/6/27,444.315
2010/7/7,444.438
2010/7/17,444.128
2010/7/27,444.425
2010/8/6,444.469
2010/8/25,443.9
2010/9/4,443.784
2010/9/14,443.596
2010/10/4,443.648
2010/10/24,443.987
2010/11/13,443.602
2010/12/2,442.938
2010/12/12,443.333
2011/1/21,443.432
2011/1/31,443.121
2011/2/10,443.185
2011/3/2,443.502
2011/3/22,443.027
2011/3/31,442.829
2011/5/10,443.051
2011/5/20,443.165
2011/6/19,443.364
2011/6/29,442.979
2011/7/19,442.379
2011/7/28,441.942
2011/8/7,441.464
2011/8/17,440.955
2011/8/27,440.909
2011/9/6,439.735
2011/9/16,438.969
2011/9/26,438.333
2011/10/6,438.342
2011/10/16,438.345
2011/10/26,438.34
2011/11/5,438.42
2011/11/15,438.39
2011/11/24,438.645
2011/12/14,438.423
2011/12/24,438.523
2012/1/3,438.995
2012/1/13,438.445
2012/1/23,438.454
2012/2/2,438.427
2012/2/12,438.396
2012/3/3,438.823
2012/3/13,438.938
2012/3/22,438.317
2012/4/1,438.403
2012/4/21,438.808
2012/5/1,438.354
2012/5/21,438.413
2012/5/31,438.742
2012/6/10,438.233
2012/6/20,438.348
2012/6/30,437.89
2012/7/10,438.682
2012/7/19,438.082
2012/7/29,438.035
2012/8/8,438.198
2012/8/18,438.081
2012/8/28,437.87
2012/9/7,437.744
2012/9/17,438.055
2012/9/27,437.428
2012/10/7,438.112
2012/10/17,437.8
2012/10/27,437.943
2012/11/15,438.557
2012/11/25,439.016
2012/12/5,439.201
2013/1/4,439.788
2013/2/3,440.274
2013/2/13,440.602
2013/4/13,444.205
2013/4/23,444.096
2013/5/3,444.603
2013/5/13,444.227
2013/5/23,444.426
2013/6/12,443.751
2013/6/22,443.652
2013/7/1,443.479
2013/7/11,442.933
2013/7/21,442.612
2013/7/31,443.148
2013/8/10,442.918
2013/8/30,442.314
2013/9/19,442.265
2013/9/29,442.513
2013/10/9,442.282
2013/10/19,442.432
2013/11/7,442.288
2013/11/17,442.551
2013/11/27,442.686
2013/12/27,442.257
2014/1/26,443.077
2014/2/24,443.871
2014/3/16,443.936
2014/3/26,443.48
2014/4/5,443.771
2014/4/15,443.788
2014/4/25,443.961
2014/5/5,444.163
2014/5/15,443.671
2014/5/25,443.756
2014/6/4,443.215
2014/7/3,443.051
2014/7/23,442.774
2014/8/2,442.276
2014/8/12,441.976
2014/8/22,441.597
2014/9/11,441.341
2014/10/1,441.036
2014/10/11,441.38
2014/10/20,441.516
2014/10/30,441.338
2014/11/9,441.42
2014/11/19,442.011
2014/12/19,443.218
2015/2/16,442.935
2015/2/26,442.972
2015/3/18,442.904
2015/3/28,442.898
2015/4/17,443.118
2015/4/27,442.752
2015/5/17,442.848
2015/5/27,442.833
2015/6/5,442.688
2015/6/15,442.232
2015/7/5,441.612
2015/7/15,442.261
2015/7/25,441.416
2015/8/4,440.835
2015/8/14,440.379
2015/8/24,440.509
2015/9/3,440.487
2015/9/13,439.792
2015/9/23,439.811
2015/10/2,440.28
2015/10/12,440.109
2015/10/22,439.905
2015/11/1,439.738
2015/11/11,439.741
2015/11/21,439.634
2015/12/1,439.498
2015/12/21,439.466
2015/12/31,439.717
2016/1/20,439.672
2016/1/29,439.562
2016/2/18,439.747
2016/3/9,439.598
2016/3/19,439.599
2016/3/29,439.708
2016/4/8,440.03
2016/4/28,440.49
2016/5/8,439.831
2016/5/18,440.683
2016/5/27,440.214
2016/6/6,440.414
2016/6/16,439.96
2016/6/26,440.403
2016/7/6,440.049
2016/7/16,439.637
2016/7/26,439.155
2016/8/5,438.782
2016/8/15,438.683
2016/8/25,438.107
2016/9/4,437.668
2016/9/23,436.85
2016/10/3,437.286
