Date,WaterLevel
2003/1/13,142.823
2003/2/17,141.932
2003/3/24,142.995
2003/4/28,143.009
2003/7/7,140.068
2003/9/15,136.57
2003/10/20,136.139
2003/11/24,137.735
2003/12/29,140.007
2004/2/2,142.357
2004/3/8,145.133
2004/4/12,146.224
2004/5/17,146.457
2004/6/21,145.945
2004/7/26,144.498
2004/8/30,144.036
2004/10/4,141.233
2004/11/8,143.723
2004/12/13,144.155
2005/1/17,142.674
2005/2/21,146.021
2005/3/28,146.031
2005/5/2,146.124
2005/7/11,143.389
2005/8/15,142.403
2005/9/19,139.616
2005/10/24,139.894
2005/11/28,141.19
2006/1/2,141.785
2006/2/6,145.98
2006/3/13,146.317
2006/4/17,146.107
2006/5/22,145.779
2006/6/26,147.852
2006/7/31,144.981
2006/9/4,144.939
2006/10/9,143.777
2006/11/13,141.945
2006/12/18,143.125
2007/1/22,146.86
2007/2/26,145.683
2007/4/2,146.375
2007/5/7,146.729
2007/6/11,146.402
2007/7/16,144.229
2007/8/20,143.865
2007/9/24,142.643
2007/10/29,140.619
2007/12/3,139.024
2008/1/7,139.179
2008/2/11,141.853
2008/3/17,142.858
2008/4/21,141.719
2008/5/26,140.251
2008/6/30,138.826
2008/8/4,136.656
2008/9/8,135.135
2008/10/13,131.997
2008/11/17,129.122
2008/12/22,128.023
2009/1/26,128.213
2009/3/2,127.505
2010/1/11,122.079
2010/3/22,127.63
2010/4/26,127.075
2010/5/31,129.556
2010/8/9,130.336
2010/9/13,132.474
2010/10/18,130.923
2013/4/17,141.731
2013/5/22,142.689
2013/6/26,142.783
2013/7/31,142.621
2013/9/4,141.176
2013/10/9,141.343
2013/11/13,141.364
2013/12/18,141.043
2014/1/22,141.831
2014/2/26,142.883
2014/4/2,144.318
2014/5/7,143.584
2014/6/11,144.916
2015/1/7,142.488
2015/5/27,120.863
2015/7/1,117.867
2015/12/23,130.008
