Date,WaterLevel
2004/1/25,-42.966
2004/2/29,-42.159
2004/4/4,-42.868
2004/5/9,-42.976
2004/6/13,-43.221
2004/8/22,-43.534
2004/10/31,-43.527
2004/12/5,-43.242
2005/1/9,-43.061
2005/2/13,-42.408
2005/3/20,-42.851
2005/4/24,-43
2005/5/29,-42.992
2005/7/3,-43.109
2005/8/7,-43.42
2005/9/11,-43.435
2005/10/16,-43.376
2005/11/20,-43.043
2005/12/25,-43.021
2006/1/29,-42.81
2006/3/5,-42.694
2006/4/9,-42.738
2006/5/14,-42.639
2006/6/18,-42.764
2006/7/23,-43.074
2006/8/27,-43.227
2006/10/1,-43.176
2006/11/5,-43.195
2006/12/10,-42.926
2007/1/14,-42.725
2007/3/25,-42.683
2007/4/29,-42.7
2007/6/3,-42.785
2007/7/8,-42.955
2007/8/12,-43.07
2007/9/16,-43.339
2007/10/21,-43.367
2007/11/25,-42.985
2007/12/30,-42.708
2008/2/3,-42.556
2008/3/9,-42.531
2008/4/13,-42.511
2008/5/18,-42.646
2008/6/22,-42.56
2008/7/27,-42.929
2008/8/31,-42.987
2008/10/5,-43.07
2008/11/9,-42.892
2009/1/18,-42.45
2009/2/22,-42.225
2009/5/3,-42.233
2009/6/7,-42.449
2009/7/12,-42.742
2009/8/16,-42.83
2009/9/20,-42.943
2009/10/25,-43.006
2009/11/29,-42.699
2010/1/3,-42.775
2010/2/7,-42.703
2010/3/14,-42.274
2010/4/18,-42.506
2010/8/1,-42.882
2010/9/5,-43.134
2010/10/10,-43.207
2013/4/10,-42.862
2013/5/15,-42.186
2013/6/19,-42.191
2013/7/24,-42.459
2013/8/28,-42.574
2013/10/2,-42.643
2013/11/6,-42.597
2013/12/11,-42.424
2014/1/15,-42.273
2014/2/19,-42.181
2014/3/26,-42.107
2014/4/30,-42.093
2014/6/4,-42.183
2014/7/9,-42.513
2014/8/13,-42.618
2014/9/17,-42.647
2014/10/22,-42.727
2014/11/26,-42.674
2014/12/31,-42.616
2015/2/4,-42.426
2015/3/11,-42.288
2015/4/15,-42.226
2015/7/29,-42.632
2015/9/2,-42.805
2015/10/7,-42.912
2015/11/11,-42.827
2015/12/16,-42.695
