Date,WaterLevel
2004/1/11,23.867
2004/2/15,23.955
2004/3/21,24.317
2004/4/25,24.618
2004/5/30,24.677
2004/7/4,24.159
2004/8/8,23.936
2004/9/12,24.046
2004/10/17,23.822
2004/11/21,23.534
2004/12/26,23.698
2005/1/30,23.739
2005/3/6,25.034
2005/4/10,25.122
2005/6/19,24.354
2005/7/24,24.327
2005/8/28,24.263
2005/10/2,24.199
2005/11/6,23.983
2005/12/11,24.054
2006/1/15,24.053
2006/2/19,22.559
2006/3/26,22.604
2006/4/30,24.086
2006/6/4,24.328
2006/7/9,24.075
2006/8/13,23.68
2006/9/17,23.61
2006/10/22,23.403
2006/11/26,23.064
2006/12/31,23.566
2007/2/4,24.497
2007/4/15,24.91
2007/5/20,24.561
2007/6/24,24.529
2007/7/29,23.245
2007/9/2,24.079
2007/10/7,23.653
2007/11/11,23.763
2007/12/16,23.821
2008/1/20,23.687
2008/2/24,23.443
2008/3/30,23.295
2008/5/4,22.961
2008/6/8,23.299
2008/7/13,22.973
2008/8/17,23.252
2008/9/21,22.862
2008/10/26,22.968
2008/11/30,22.915
2009/1/4,22.396
2009/2/8,22.908
2009/3/15,22.323
2009/4/19,22.742
2009/5/24,22.928
2009/6/28,23.71
2009/8/2,22.093
2009/9/6,21.568
2009/10/11,21.823
2009/11/15,21.985
2009/12/20,21.314
2010/1/24,21.225
2010/2/28,21.754
2010/4/4,22.082
2010/5/9,23.454
2010/6/13,21.094
2010/7/18,22.011
2010/8/22,21.425
2010/9/26,21.153
2013/4/30,21.133
2013/6/4,20.997
2013/7/9,20.925
2013/8/13,21.398
2013/9/17,20.899
2013/10/22,21.041
2013/11/26,21.345
2014/3/11,21.21
2014/5/20,21.081
2014/6/24,20.988
2014/9/2,21.28
2014/11/11,21.426
2014/12/16,21.247
2015/1/20,21.673
2015/2/24,20.8
2015/3/31,20.385
2015/5/5,21.25
2015/8/18,20.939
2015/9/22,20.531
2015/10/27,21.148
2015/12/1,20.269
