Date,WaterLevel
2009/1/6,1490.874
2009/1/16,1489.22
2009/1/26,1487.455
2009/2/15,1485.039
2009/3/7,1486.928
2009/3/27,1486.038
2009/4/6,1485.32
2009/4/16,1485.206
2009/5/5,1485.643
2009/5/25,1485.09
2009/8/13,1491.666
2009/9/1,1492.983
2009/9/11,1493.639
2009/9/21,1492.574
2009/10/31,1490.193
2009/11/10,1489.077
2009/12/10,1488.708
2009/12/19,1487.039
2009/12/29,1487.869
2010/1/18,1485.148
2010/1/28,1484.874
2010/2/7,1483.195
2010/2/17,1480.867
2010/2/27,1478.488
2010/3/9,1476.184
2010/3/19,1475.85
2010/3/29,1476.783
2010/4/8,1476.12
2010/4/17,1477.2
2010/4/27,1477.929
2010/5/7,1478.132
2010/5/17,1479.441
2010/5/27,1480.614
2010/6/6,1481.79
2010/7/6,1488.102
2010/7/16,1489.1
2010/7/26,1490.312
2010/8/4,1489.215
2010/9/3,1492.26
2010/9/13,1493.005
2010/10/13,1493.473
2010/10/23,1492.607
2010/11/2,1493.123
2010/11/12,1491.401
2010/11/22,1491.822
2010/12/1,1490.936
2010/12/11,1489.705
2010/12/21,1488.837
2010/12/31,1488.392
2011/1/10,1488.368
2011/1/20,1486.564
2011/1/30,1486.232
2011/2/9,1485.162
2011/2/19,1485.231
2011/3/1,1484.433
2011/3/11,1483.719
2011/3/21,1483.616
2011/3/30,1483.421
2011/4/9,1484.374
2011/4/19,1484.431
2011/6/28,1491.351
2011/7/18,1493.857
2011/7/27,1495.21
2011/8/16,1495.834
2011/8/26,1494.012
2011/9/15,1495.82
2011/9/25,1496.336
2011/10/5,1496.094
2011/10/15,1495.798
2011/11/14,1494.224
2011/11/23,1492.86
2011/12/23,1490.746
2012/1/2,1489.48
2012/1/12,1488.015
2012/1/22,1486.96
2012/2/1,1485.479
2012/2/11,1484.18
2012/2/21,1482.601
2012/3/2,1481.124
2012/3/12,1479.732
2012/3/21,1477.679
2012/3/31,1478.179
2012/4/10,1477.345
2012/4/20,1479.95
2012/4/30,1477.284
2012/5/10,1480.708
2012/5/20,1482.951
2012/5/30,1483.32
2012/6/19,1486.925
2012/7/8,1491.958
2012/7/18,1493.54
2012/7/28,1494.37
2012/8/7,1495.763
2012/8/17,1495.792
2012/10/6,1495.698
2012/10/26,1495.579
2012/11/14,1494.719
2012/12/4,1493.031
2012/12/14,1491.759
2013/1/3,1491.213
2013/1/13,1491.557
2013/1/23,1490.855
2013/2/2,1490.338
2013/2/12,1489.848
2013/2/22,1489.006
2013/3/3,1488.118
2013/3/13,1488.39
2013/4/12,1485.104
2013/6/30,1491.938
2013/7/10,1491.309
2013/7/20,1491.901
2013/7/30,1493.199
2013/8/29,1491.763
2013/9/28,1491.615
2013/10/8,1492.277
2013/10/27,1493.328
2013/11/6,1493.419
2013/11/16,1493.434
2013/12/16,1490.167
2013/12/26,1490.791
2014/1/5,1489.978
2014/1/15,1489.898
2014/1/25,1489.342
2014/2/4,1488.741
2014/2/23,1487.602
2014/3/15,1486.543
2014/3/25,1485.594
2014/4/4,1484.705
2014/5/14,1485.341
2014/6/3,1485.536
2014/7/2,1491.66
2014/7/12,1492.709
2014/7/22,1493.709
2014/9/10,1494.852
2014/9/20,1491.982
2014/9/30,1493.372
2014/10/19,1493.995
2014/11/18,1495.455
2014/12/8,1495.503
2014/12/18,1494.318
2014/12/28,1494.983
2015/1/7,1494.257
2015/1/17,1493.048
2015/1/27,1491.68
2015/2/5,1491.265
2015/2/15,1491.609
2015/2/25,1491.046
2015/3/7,1491.785
2015/3/17,1492.072
2015/3/27,1491.793
2015/4/6,1491.509
2015/4/16,1491.058
2015/5/6,1489.284
2015/5/16,1489.618
2015/6/4,1489.461
2015/6/14,1488.202
2015/6/24,1493.078
2015/7/4,1492.462
2015/8/3,1494.029
2015/8/13,1494.831
2015/9/2,1494.783
2015/9/22,1495.135
2015/10/11,1495.371
2015/11/10,1494.259
2015/11/20,1494.207
2015/12/20,1492.459
2015/12/30,1491.531
2016/1/9,1491.066
2016/1/19,1491.021
2016/1/28,1489.843
2016/2/7,1489.222
2016/2/17,1489.38
2016/2/27,1489.127
2016/3/28,1487.435
2016/4/7,1485.59
2016/4/27,1487.326
2016/5/7,1487.496
2016/5/17,1487.693
2016/5/26,1488.236
2016/6/5,1489.685
2016/6/25,1493.738
2016/7/5,1494.871
2016/7/15,1496.351
2016/8/14,1495.589
2016/9/3,1496.593
2016/9/13,1496.295
2016/9/22,1495.881
2016/10/2,1495.499
2016/12/1,1493.349
2016/12/11,1491.732
2016/12/21,1491.843
2016/12/31,1491.284
2017/1/9,1490.101
2017/1/19,1489.222
2017/1/29,1488.974
2017/2/8,1488.613
2017/2/18,1488.553
2017/2/28,1487.85
2017/3/20,1486.858
2017/4/9,1486.966
2017/4/19,1486.062
2017/4/29,1486.257
2017/5/8,1485.814
2017/5/28,1487.067
2017/6/27,1489.813
2017/8/26,1495.056
2017/10/14,1490.704
2017/12/13,1493.433
2017/12/23,1493.063
