Date,WaterLevel
2003/1/10,1896.989
2003/1/20,1897.152
2003/2/14,1896.988
2003/2/24,1897.49
2003/5/30,1897.568
2003/6/9,1897.693
2003/7/4,1897.561
2003/7/14,1897.822
2003/8/8,1897.682
2003/8/18,1897.684
2003/9/12,1897.633
2003/9/22,1897.561
2003/10/17,1897.446
2003/11/21,1897.521
2003/12/1,1897.599
2003/12/26,1897.398
2004/1/5,1897.543
2004/1/30,1897.381
2004/2/9,1897.539
2004/3/5,1897.478
2004/3/15,1897.605
2004/4/9,1897.597
2004/4/19,1897.856
2004/5/14,1897.899
2004/5/24,1898.014
2004/6/18,1898.194
2004/6/28,1898.287
2004/7/23,1898.23
2004/8/2,1897.948
2004/8/27,1898.17
2004/9/6,1898.169
2004/10/1,1897.91
2004/10/11,1898.002
2004/11/5,1897.985
2004/11/15,1898.012
2004/12/10,1897.856
2005/1/14,1897.625
2005/1/24,1898.025
2005/2/18,1897.983
2005/2/28,1898.049
2005/3/25,1898.046
2005/4/4,1898.145
2005/5/9,1898.232
2005/6/3,1898.488
2005/6/13,1898.524
2005/7/8,1898.497
2005/7/18,1898.441
2005/8/12,1898.45
2005/8/22,1898.506
2005/9/16,1898.474
2005/9/26,1898.532
2005/10/21,1898.321
2005/10/31,1898.445
2005/11/25,1898.286
2005/12/5,1898.407
2005/12/30,1898.315
2006/1/9,1898.341
2006/2/3,1898.322
2006/2/13,1898.459
2006/3/10,1898.271
2006/3/20,1898.42
2006/4/14,1898.354
2006/4/24,1898.684
2006/5/19,1898.831
2006/5/29,1898.732
2006/6/23,1898.605
2006/7/3,1898.87
2006/7/28,1898.793
2006/8/7,1898.832
2006/9/1,1898.63
2006/9/11,1898.566
2006/10/6,1898.665
2006/10/16,1898.717
2006/11/10,1898.504
2006/11/20,1898.545
2007/1/19,1898.089
2007/1/29,1898.53
2007/2/23,1898.613
2007/3/5,1898.591
2007/3/30,1898.669
2007/4/9,1898.682
2007/5/4,1898.696
2007/5/14,1899.044
2007/6/8,1899.091
2007/6/18,1899.208
2007/7/13,1899.197
2007/7/23,1899.246
2007/8/17,1899.088
2007/8/27,1899.234
2007/9/21,1899.087
2007/10/1,1899.155
2007/10/26,1898.918
2007/11/5,1899.127
2007/11/30,1899.021
2007/12/10,1899.193
2008/1/4,1899.053
2008/1/14,1899.394
2008/2/8,1898.611
2008/2/18,1898.792
2008/3/14,1899.169
2008/3/24,1899.582
2008/4/18,1899.27
2008/4/28,1899.45
2008/5/23,1899.533
2008/6/2,1899.518
2008/6/27,1899.475
2008/7/7,1899.553
2008/8/1,1899.4
2008/8/11,1899.498
2008/9/5,1899.342
2008/9/15,1899.395
2008/10/10,1899.184
2008/10/20,1899.221
2008/11/14,1899.144
2008/11/24,1899.223
2008/12/19,1899.07
2008/12/29,1899.061
2009/1/23,1899.171
2009/2/2,1899.214
2009/2/27,1899.09
2009/4/13,1899.211
2009/5/8,1899.305
2009/5/18,1899.417
2009/6/12,1899.553
2009/6/22,1899.622
2009/7/17,1899.521
2009/7/27,1899.707
2009/8/21,1899.562
2009/8/31,1899.586
2009/9/25,1899.576
2009/10/5,1899.667
2009/10/30,1899.54
2009/11/9,1899.678
2009/12/4,1899.537
2009/12/14,1899.561
2010/1/8,1899.463
2010/1/18,1899.482
2010/2/12,1899.467
2010/2/22,1899.625
2010/3/19,1899.638
2010/3/29,1899.701
2010/4/23,1899.727
2010/5/3,1900.037
2010/5/28,1900.184
2010/6/7,1900.155
2010/7/12,1900.297
2010/8/6,1900.274
2010/8/16,1900.249
2010/9/10,1900.069
2010/9/20,1900.084
2010/10/15,1900.026
2013/3/21,1900.315
2013/4/14,1900.268
2013/4/25,1900.434
2013/5/19,1900.49
2013/5/30,1900.674
2013/6/23,1900.615
2013/7/4,1900.701
2013/7/28,1900.532
2013/8/8,1900.655
2013/9/1,1900.497
2013/9/12,1900.476
2013/10/6,1900.363
2013/10/17,1900.358
2013/11/10,1900.235
2013/11/21,1900.344
2013/12/15,1900.201
2013/12/26,1900.327
2014/1/19,1900.183
2014/1/30,1900.309
2014/2/23,1900.221
2014/3/6,1900.344
2014/3/30,1900.266
2014/4/10,1900.411
2014/5/4,1900.458
2014/5/15,1900.587
2014/6/8,1900.519
2014/6/19,1900.705
2014/7/13,1900.517
2014/7/24,1900.616
2014/8/17,1900.413
2014/8/28,1900.435
2014/9/21,1900.266
2014/10/2,1900.35
2014/10/26,1900.15
2014/11/6,1900.266
2014/11/30,1900.156
2014/12/11,1900.283
2015/1/4,1900.169
2015/1/15,1900.206
2015/2/8,1900.143
2015/2/19,1900.254
2015/3/15,1900.17
2015/3/26,1900.283
2015/4/19,1900.266
2015/4/30,1900.463
2015/5/24,1900.653
2015/6/4,1900.564
2015/7/9,1900.551
2015/8/2,1900.482
2015/8/13,1900.519
2015/9/6,1900.411
2015/9/17,1900.413
2015/10/11,1900.29
2015/10/22,1900.417
2015/11/15,1900.224
2015/11/26,1900.315
2015/12/20,1900.252
2015/12/31,1900.287
2016/1/24,1900.224
2016/2/4,1900.362
2016/2/28,1900.308
2016/4/3,1900.333
2016/4/14,1900.564
2016/5/8,1900.586
2016/5/19,1900.691
2016/6/12,1900.85
2016/6/23,1900.748
2016/6/28,1900.609
2016/7/25,1900.676
2016/8/21,1900.583
2016/9/17,1900.501
2016/10/14,1900.493
2016/11/10,1900.489
2016/12/7,1900.404
2017/1/3,1900.385
2017/1/30,1900.35
2017/2/26,1900.179
2017/3/25,1900.416
2017/4/21,1900.591
2017/5/18,1900.777
2017/6/14,1900.826
2017/7/11,1900.821
2017/8/7,1900.718
2017/9/3,1900.574
2017/9/30,1900.466
2017/10/27,1900.418
2017/11/23,1900.461
2017/12/20,1900.35
