Date,WaterLevel
2000/1/7,46.8
2000/1/17,46.764
2000/1/27,46.849
2000/2/6,46.726
2000/2/16,46.705
2000/2/26,46.471
2000/3/17,46.441
2000/3/27,46.311
2000/5/15,46.742
2000/5/25,46.392
2000/6/4,46.475
2000/6/14,46.276
2000/6/24,46.257
2000/7/4,46.127
2000/7/14,45.932
2000/8/2,45.816
2000/8/12,45.809
2000/8/22,45.668
2000/9/1,45.54
2000/9/11,45.452
2000/10/1,45.265
2000/10/11,45.192
2000/10/21,45.095
2000/10/31,45.085
2000/11/10,44.893
2000/11/20,44.836
2000/11/29,44.794
2000/12/19,44.718
2000/12/29,44.834
2001/1/8,44.896
2001/1/28,44.794
2001/2/7,44.805
2001/2/17,44.866
2001/2/27,44.756
2001/3/9,44.54
2001/3/19,44.742
2001/3/28,44.352
2001/4/7,44.666
2001/4/17,44.678
2001/5/7,44.595
2001/5/27,44.363
2001/6/6,44.018
2001/6/16,44.09
2001/6/26,44.028
2001/7/6,43.965
2001/7/16,43.963
2001/7/25,43.672
2001/8/4,43.712
2001/8/14,43.7
2001/8/24,43.522
2001/9/3,43.107
2001/9/13,43.3
2001/9/23,43.297
2001/10/3,43.125
2001/10/13,43.263
2001/10/23,43.115
2001/11/2,43.102
2001/11/11,43.106
2001/11/21,42.832
2001/12/1,42.976
2001/12/11,42.896
2001/12/21,42.615
2001/12/31,42.732
2002/1/10,42.743
2002/1/30,43.29
2002/2/9,43.288
2002/2/19,43.301
2002/3/1,43.218
2002/3/10,43.352
2002/3/20,43.319
2002/3/30,43.446
2002/4/9,44.373
2002/4/19,44.378
2002/4/29,45.379
2002/5/9,46.007
2002/5/19,46.488
2002/5/29,46.557
2002/6/8,46.962
2002/6/18,46.999
2002/6/28,46.822
2002/7/7,46.765
2002/7/17,46.411
2002/7/27,46.314
2002/8/6,46.117
2002/8/26,45.771
2002/9/5,45.516
2002/9/15,45.386
2002/9/25,45.251
2002/10/5,45.123
2002/10/15,45.02
2002/10/25,44.879
2002/11/3,44.794
2002/11/13,44.664
2002/11/23,44.511
2002/12/3,44.501
2002/12/13,44.418
2002/12/23,44.606
2003/1/2,44.763
2003/1/12,44.894
2003/1/22,45.143
2003/2/11,45.338
2003/2/21,45.557
2003/3/12,46.213
2003/3/22,46.537
2003/4/21,49.563
2003/5/1,50.69
2003/5/21,52.081
2003/5/31,52.611
2003/6/10,53.003
2003/6/20,53.224
2003/6/29,53.29
2003/7/9,53.247
2003/7/29,52.942
2003/8/28,52.442
2003/9/7,52.317
2003/9/17,52.096
2003/9/27,51.918
2003/10/7,51.69
2003/10/16,51.588
2003/10/26,51.362
2003/11/15,50.892
2003/12/5,50.854
2003/12/15,50.852
2003/12/25,51.149
2004/1/14,51.625
2004/1/24,52.072
2004/2/12,53.161
2004/2/22,53.666
2004/3/13,54.544
2004/4/2,55.104
2004/4/12,55.385
2004/4/22,55.517
2004/5/2,55.617
2004/5/12,55.732
2004/5/22,55.797
2004/6/1,55.821
2004/6/10,55.785
2004/6/30,55.612
2004/7/10,55.46
2004/7/20,55.278
2004/8/9,54.686
2004/8/19,54.479
2004/9/8,54.038
2004/9/28,53.741
2004/10/7,53.646
2004/10/17,53.475
2004/10/27,53.051
2004/11/6,53.131
2004/11/16,52.998
2004/11/26,52.818
2004/12/6,52.751
2004/12/16,52.572
2004/12/26,52.52
2005/1/5,52.518
2005/1/25,52.607
2005/2/3,52.758
2005/2/13,52.903
2005/2/23,53.081
2005/4/4,53.308
2005/4/14,53.272
2005/4/24,53.337
2005/5/4,53.511
2005/5/14,53.565
2005/5/24,53.624
2005/6/2,53.533
2005/6/12,53.389
2005/6/22,53.174
2005/7/2,52.903
2005/8/1,52.194
2005/8/11,51.94
2005/8/21,51.759
2005/8/31,51.596
2005/9/10,51.43
2005/9/20,51.232
2005/9/29,50.836
2005/10/9,50.621
2005/10/19,50.367
2005/10/29,50.18
2005/11/8,49.842
2005/11/18,49.567
2005/11/28,49.139
2005/12/8,49.179
2005/12/18,49.086
2005/12/28,48.855
2006/1/7,48.721
2006/1/16,48.813
2006/1/26,48.817
2006/2/5,48.921
2006/3/17,50.404
2006/3/27,50.588
2006/4/6,50.776
2006/4/16,51.542
2006/4/26,52.492
2006/5/6,53.21
2006/5/15,53.976
2006/5/25,54.337
2006/6/4,54.407
2006/6/14,54.237
2006/7/4,53.896
2006/7/24,53.312
2006/8/3,53.142
2006/8/13,52.845
2006/8/23,52.626
2006/9/2,52.349
2006/9/11,52.108
2006/9/21,51.771
2006/10/1,51.525
2006/10/21,51.081
2006/11/20,50.942
2006/11/30,50.904
2006/12/10,50.755
2006/12/20,50.726
2006/12/30,50.641
2007/1/8,50.563
2007/1/28,50.555
2007/2/7,50.598
2007/3/9,50.917
2007/3/19,50.911
2007/3/29,50.997
2007/4/8,51.095
2007/4/18,51.34
2007/4/28,51.932
2007/5/7,52.594
2007/5/17,53.362
2007/5/27,53.937
2007/6/26,53.898
2007/7/6,53.612
2007/7/16,53.337
2007/7/26,53.061
2007/8/5,52.816
2007/8/15,52.552
2007/8/25,52.373
2007/10/3,51.678
2007/10/23,51.404
2007/11/2,51.199
2007/11/12,50.983
2007/11/22,50.789
2007/12/2,50.421
2007/12/12,50.151
2007/12/22,49.862
2007/12/31,49.695
2008/1/10,49.528
2008/1/20,49.438
2008/1/30,49.369
2008/2/9,49.316
2008/2/19,49.211
2008/2/29,49.066
2008/3/10,48.993
2008/3/20,49.036
2008/4/9,48.981
2008/4/18,48.865
2008/5/18,48.918
2008/5/28,48.596
2008/6/7,48.496
2008/6/17,48.163
2008/7/7,47.68
2008/7/17,47.413
2008/7/27,47.122
2008/8/6,46.964
2008/8/25,46.524
2008/9/14,46.096
2008/9/24,45.935
2008/10/4,45.75
2008/10/24,45.456
2008/11/3,45.339
2008/11/13,45.255
2008/11/23,45.164
2008/12/3,45.015
2008/12/12,44.91
2008/12/22,44.719
2009/1/1,44.718
2009/1/11,44.664
2009/1/31,44.485
2009/2/10,44.398
2009/2/20,44.338
2009/3/2,44.242
2009/3/12,44.231
2009/3/22,44.325
2009/4/1,44.42
2009/4/10,44.421
2009/4/20,44.675
2009/5/10,45.169
2009/5/30,45.853
2009/6/9,45.791
2009/6/19,45.814
2009/6/29,45.621
2009/7/9,45.558
2009/7/19,45.348
2009/7/29,45.176
2009/8/7,44.98
2009/8/17,44.912
2009/8/27,44.802
2009/9/16,44.529
2009/9/26,44.088
2009/10/6,44.29
2009/10/16,44.161
2009/10/26,44.015
2009/11/5,44.035
2009/11/15,43.938
2009/11/25,43.873
2009/12/4,43.727
2009/12/24,43.851
2010/1/3,43.838
2010/1/13,43.812
2010/1/23,44.025
2010/2/2,44.845
2010/2/12,45.588
2010/2/22,45.665
2010/3/4,45.951
2010/3/14,46.365
2010/3/24,46.583
2010/4/12,46.763
2010/4/22,46.857
2010/5/2,46.786
2010/5/22,47.289
2010/6/1,47.344
2010/6/11,47.482
2010/6/21,47.367
2010/7/1,47.187
2010/7/11,47.003
2010/7/20,46.765
2010/7/30,46.609
2010/8/9,46.431
2010/8/19,46.193
2010/8/29,45.974
2010/9/8,45.821
2010/9/18,45.615
2010/9/28,45.54
2010/10/8,45.292
2010/10/18,45.186
2010/10/28,45.008
2010/11/7,44.863
2010/11/16,44.853
2010/11/26,44.689
2010/12/6,44.508
2010/12/16,44.448
2010/12/26,44.309
2011/1/5,44.221
2011/1/15,44.153
2011/1/25,44.025
2011/2/4,44.098
2011/2/14,44.162
2011/2/24,44.058
2011/3/6,43.972
2011/3/15,43.95
2011/3/25,43.861
2011/5/14,46.422
2011/5/24,46.994
2011/6/3,47.367
2011/6/13,47.53
2011/6/23,47.423
2011/7/3,47.21
2011/7/12,47.081
2011/7/22,46.895
2011/8/1,46.664
2011/8/11,46.443
2011/8/21,46.221
2011/8/31,46.099
2011/9/10,45.894
2011/9/20,45.639
2011/9/30,45.535
2011/10/10,45.33
2011/10/20,45.215
2011/10/30,45.029
2011/11/8,44.882
2011/11/18,44.811
2011/11/28,44.71
2011/12/8,44.529
2011/12/18,44.354
2011/12/28,44.323
2012/1/7,44.199
2012/1/17,44.237
2012/1/27,44.028
2012/2/6,44.022
2012/2/16,43.97
2012/2/26,44.018
2012/3/6,44.026
2012/3/16,44.117
2012/3/26,44.141
2012/5/5,45.414
2012/5/15,45.604
2012/5/25,45.688
2012/6/4,45.783
2012/6/14,45.833
