Date,WaterLevel
2002/2/18,32.055
2002/2/28,31.368
2002/3/10,31.827
2002/3/30,32.778
2002/4/9,33.042
2002/4/19,32.606
2002/5/8,32.377
2002/5/18,30.972
2002/6/27,31.183
2002/7/7,34.219
2002/7/17,33.998
2002/7/18,33.456
2002/7/27,32.744
2002/8/16,30.383
2002/8/22,30.572
2002/8/25,28.412
2002/9/4,28.456
2002/9/14,29.511
2002/9/26,29.582
2002/10/16,28.91
2002/10/31,31.356
2002/11/20,29.046
2002/11/23,29.332
2002/12/25,28.539
2003/1/9,29.28
2003/1/31,29.259
2003/2/10,30.118
2003/2/13,30.596
2003/4/1,31.444
2003/4/20,32.672
2003/4/24,32.862
2003/4/30,30.339
2003/5/10,33.214
2003/5/20,32.456
2003/5/29,32.036
2003/5/30,32.026
2003/6/9,31.401
2003/6/19,29.716
2003/6/29,30.797
2003/7/23,28.542
2003/7/29,29.633
2003/8/7,28.47
2003/8/27,29.119
2003/9/16,29.53
2003/10/1,29.069
2003/11/5,31.086
2003/11/15,29.707
2003/12/24,29.78
2003/12/25,30.352
2004/1/3,31.001
2004/1/14,30.489
2004/1/23,29.965
2004/1/29,30.598
2004/2/2,30.734
2004/2/12,30.803
2004/2/22,31.553
2004/3/4,32.63
2004/3/23,33.484
2004/3/24,33.116
2004/4/8,32.575
2004/4/21,33.013
2004/5/13,32.877
2004/5/21,32.435
2004/5/31,32.749
2004/6/17,32.828
2004/6/20,30.959
2004/6/30,32.517
2004/7/20,31.955
2004/7/22,31.768
2004/7/29,31.04
2004/8/8,29.552
2004/8/18,29.05
2004/8/26,30.011
2004/9/7,29.91
2004/9/30,28.095
2004/10/17,29.38
2004/10/20,28.82
2004/11/24,28.911
2004/12/5,30.318
2004/12/9,31.585
2004/12/29,30.018
2005/1/4,30.69
2005/1/13,30.739
2005/1/24,30.999
2005/2/3,30.737
2005/2/17,31.581
2005/2/23,31.331
2005/3/5,30.694
2005/3/15,28.254
2005/3/24,32.898
2005/4/3,32.374
2005/4/13,32.146
2005/4/23,31.64
2005/4/28,33.333
2005/5/18,32.543
2005/5/23,32.03
2005/6/2,32.43
2005/7/2,30.447
2005/7/7,32.515
2005/7/11,30.308
2005/7/27,31.601
2005/7/31,29.304
2005/8/11,30.291
2005/8/20,29.648
2005/8/30,29.11
2005/8/31,29.048
2005/9/19,29.267
2005/10/5,28.829
2005/10/9,29.279
2005/10/20,31.471
2005/11/7,29.885
2005/11/9,30.72
2005/11/17,30.237
