Date,WaterLevel
2009/1/9,34.18
2009/1/19,34.15
2009/1/29,34.27
2009/2/8,34.38
2009/2/18,34.38
2009/2/28,34.28
2009/3/10,34.44
2009/3/20,34.52
2009/3/30,34.43
2009/4/8,34.43
2009/4/18,34.68
2009/4/28,34.61
2009/5/8,34.72
2009/5/18,34.82
2009/5/28,34.66
2009/6/7,34.5
2009/6/17,34.67
2009/6/27,34.65
2009/7/7,34.44
2009/7/17,34.26
2009/7/27,33.96
2009/8/5,33.91
2009/8/15,33.96
2009/8/25,33.37
2009/9/4,32.92
2009/9/14,33.2
2009/9/24,32.85
2009/10/4,32.71
2009/10/14,32.52
2009/10/24,
2009/11/3,32.38
2009/11/13,32.43
2009/11/23,31.93
2009/12/2,32.2
2009/12/12,33.05
2009/12/22,32.84
2010/1/1,33.24
2010/1/11,33.1
2010/1/21,33.04
2010/1/31,33.13
2010/2/10,32.96
2010/2/20,33.23
2010/3/2,33.29
2010/3/12,32.76
2010/3/22,33.54
2010/3/31,33.68
2010/4/10,34.07
2010/4/20,34.15
2010/4/30,35.11
2010/5/10,35.19
2010/5/20,35.39
2010/5/30,35.46
2010/6/9,35.51
2010/6/19,35.4
2010/6/29,35.18
2010/7/9,35.13
2010/7/19,34.77
2010/7/28,34.22
2010/8/7,34.35
2010/8/17,34.48
2010/8/27,34.24
2010/9/6,34.13
2010/9/16,33.88
2010/9/26,33.78
2010/10/6,33.06
2010/10/16,33.57
2010/10/26,32.82
2010/11/5,32.77
2010/11/15,32.8
2010/11/24,32.71
2010/12/4,
2010/12/14,33.03
2010/12/24,33.18
2011/1/3,32.78
2011/1/13,33.63
2011/1/23,33.37
2011/2/2,33.48
2011/2/12,33.58
2011/2/22,33.29
2011/3/4,33.31
2011/3/14,33.27
2011/3/23,33.76
2011/4/2,33.77
2011/4/12,33.17
2011/4/22,33.75
2011/5/2,33.85
2011/5/12,33.73
2011/5/22,34.05
2011/6/1,33.98
2011/6/11,34.01
2011/6/21,33.72
2011/7/1,33.47
2011/7/10,33.35
2011/7/20,33.22
2011/7/30,32.75
2011/8/9,32.47
2011/8/19,32.55
2011/8/29,32.93
2011/9/8,32.12
2011/9/18,32.7
2011/9/28,32.14
2011/10/8,32.26
2011/10/18,32
2011/10/28,31.9
2011/11/6,31.98
2011/11/16,32.29
2011/11/26,32.46
2011/12/6,32.41
2011/12/16,32.29
2011/12/26,32.47
2012/1/5,32.54
2012/1/15,32.58
2012/1/25,32.37
2012/2/4,32.18
2012/2/14,32.31
