Date,WaterLevel
2000/1/17,1275.182
2000/2/6,1275.272
2000/2/26,1275.399
2000/4/25,1275.326
2000/5/5,1275.295
2000/5/15,1275.265
2000/5/25,1275.385
2000/6/4,1275.168
2000/6/24,1275.049
2000/7/4,1275.029
2000/8/12,1274.69
2000/8/22,1274.723
2000/9/1,1274.732
2000/9/11,1274.561
2000/10/11,1274.329
2000/10/21,1274.381
2000/11/10,1274.119
2000/11/29,1274.071
2001/1/8,1274.155
2001/2/17,1274.224
2001/3/28,1274.184
2001/4/7,1274.232
2001/4/27,1274.361
2001/5/27,1274.319
2001/6/16,1274.099
2001/7/16,1273.911
2001/7/25,1273.894
2001/8/4,1273.682
2001/8/24,1273.446
2001/9/23,1273.467
2001/10/13,1273.366
2001/11/11,1272.983
2001/11/21,1272.821
2001/12/31,1273.442
2002/1/10,1273.832
2002/3/1,1273.673
2002/3/10,1273.624
2002/3/30,1273.339
2002/4/19,1273.55
2002/4/29,1273.63
2002/5/9,1273.635
2002/5/19,1273.728
2002/5/29,1273.72
2002/6/18,1273.667
2002/6/28,1273.485
2002/7/7,1273.373
2002/7/17,1273.422
2002/7/27,1273.279
2002/8/6,1273.388
2002/8/16,1273.183
2002/8/26,1273.32
2002/9/5,1273.076
2002/9/15,1272.994
2002/9/25,1273.114
2002/10/5,1272.994
2002/10/15,1273.039
2002/11/3,1272.852
2002/11/13,1272.851
2002/12/3,1273.053
2003/1/4,1273.328
2003/1/22,1273.175
2003/3/12,1272.816
2003/4/21,1273.562
2003/5/1,1273.624
2003/5/11,1273.923
2003/5/21,1273.821
2003/6/10,1273.8
2003/6/20,1273.798
2003/6/29,1273.586
2003/7/9,1273.77
2003/7/19,1273.655
2003/7/29,1273.54
2003/8/18,1273.372
2003/8/28,1273.325
2003/9/7,1273.36
2003/9/17,1273.184
2003/10/7,1273.108
2003/10/26,1273.127
2003/11/5,1273.18
2003/12/25,1273.186
2004/1/14,1273.171
2004/1/24,1273.258
2004/3/13,1273.216
2004/4/2,1273.354
2004/4/12,1273.621
2004/5/2,1273.633
2004/5/12,1273.718
2004/5/22,1273.838
2004/6/1,1273.69
2004/6/10,1273.753
2004/6/20,1273.789
2004/6/30,1273.654
2004/7/10,1273.705
2004/7/20,1273.511
2004/7/30,1273.494
2004/8/9,1273.475
2004/8/29,1273.243
2004/9/8,1273.373
2004/10/7,1273.232
2004/10/17,1273.324
2004/11/26,1272.958
2004/12/6,1273.028
2004/12/16,1273.116
2004/12/26,1273.165
2005/1/15,1273.163
2005/2/3,1273.054
2005/3/15,1273.334
2005/3/25,1273.426
2005/4/4,1273.47
2005/5/4,1273.501
2005/5/14,1273.569
2005/5/24,1273.561
2005/6/2,1273.46
2005/6/22,1273.327
2005/7/2,1273.532
2005/7/12,1273.438
