Date,WaterLevel
2003/2/1,1646.924
2003/3/8,1647.133
2003/4/12,1647.505
2003/5/17,1647.703
2003/6/21,1647.926
2003/8/30,1647.58
2003/10/4,1647.726
2003/11/8,1647.544
2003/12/13,1647.399
2004/2/15,1647.949
2004/4/25,1648.23
2004/5/30,1648.449
2004/7/10,1648.06
2004/9/12,1648.024
2004/10/17,1647.831
2004/11/27,1647.596
2004/12/26,1647.978
2005/1/30,1647.926
2005/3/12,1647.586
2005/4/16,1647.875
2005/5/15,1648.237
2005/6/19,1648.487
2005/7/24,1648.338
2005/7/30,1648.518
2005/8/28,1648.349
2005/10/8,1647.775
2005/12/11,1648.08
2006/1/15,1648.005
2006/2/25,1647.76
2006/4/30,1648.458
2006/6/4,1648.533
2006/8/19,1647.956
2006/10/22,1648.106
2006/12/31,1648.114
2007/2/10,1647.783
2007/3/17,1647.688
2007/5/20,1648.473
2007/6/24,1648.624
2007/8/4,1648.134
2007/10/7,1648.257
2007/11/11,1648.06
2007/12/22,1647.719
2008/3/1,1647.732
2008/3/30,1648.216
2008/5/4,1648.368
2008/6/14,1647.924
2008/7/19,1647.758
2008/8/17,1648.068
2008/9/21,1647.912
2008/11/1,1647.349
2008/12/6,1647.235
2009/2/8,1647.766
2009/3/6,1647.925
2009/3/15,1647.914
2009/3/16,1647.92
2009/3/26,1648.138
2009/4/5,1648.04
2009/4/15,1647.982
2009/4/19,1647.952
2009/4/25,1648.085
2009/5/5,1648.138
2009/5/15,1648.193
2009/5/24,1648.104
2009/6/13,1648.171
2009/6/23,1648.328
2009/6/28,1648.239
2009/7/3,1648.307
2009/7/13,1648.237
2009/7/23,1648.227
2009/8/2,1648.202
2009/8/12,1648.115
2009/8/22,1648.047
2009/9/1,1648.036
2009/9/6,1647.947
2009/9/11,1648.054
2009/9/30,1647.977
2009/10/10,1647.966
2009/10/11,1647.876
2009/10/20,1647.948
2009/10/30,1647.882
2009/11/9,1647.989
2009/11/15,1647.841
2009/11/19,1647.932
2009/11/29,1648.01
2009/12/9,1647.9
2009/12/19,1647.983
2009/12/29,1647.951
2010/1/8,1647.975
2010/1/17,1647.961
2010/1/24,1647.936
2010/1/27,1648.018
2010/2/6,1648.006
2010/2/16,1648.059
2010/2/26,1648.019
2010/2/28,1647.974
2010/3/8,1647.962
2010/3/18,1648.062
2010/3/28,1648.139
2010/4/4,1648.05
2010/4/7,1648.14
2010/4/17,1648.221
2010/4/27,1648.34
2010/5/7,1648.317
2010/5/9,1648.372
2010/5/16,1648.483
2010/5/26,1648.477
2010/6/13,1648.447
2010/6/15,1648.436
2010/7/15,1648.536
2010/7/18,1648.446
2010/7/25,1648.602
2010/8/4,1648.434
2010/8/14,1648.332
2010/8/22,1648.214
2010/8/24,1648.283
2010/9/3,1648.324
2010/9/12,1648.316
2010/9/22,1648.25
2010/9/26,1648.04
2010/10/2,1648.218
2010/10/12,1648.069
2010/11/1,1648.086
2010/11/11,1648.161
2010/11/21,1648.119
2010/12/1,1648.1
2010/12/11,1648.037
2010/12/21,1647.999
2010/12/31,1647.949
2011/1/9,1647.988
2011/1/19,1648.037
2011/1/29,1648.043
2011/2/8,1647.997
2011/2/18,1648.001
2011/2/28,1647.998
2011/3/10,1648.048
2011/3/20,1648.059
2011/3/30,1648.119
2011/4/9,1648.088
2011/5/8,1648.265
2011/5/18,1648.361
2011/5/28,1648.486
2011/6/7,1648.572
2011/6/17,1648.559
2011/6/27,1648.499
2011/7/7,1648.522
2011/7/17,1648.486
2011/7/27,1648.421
2011/8/6,1648.346
2011/8/16,1648.399
2011/8/25,1648.301
2011/9/4,1648.242
2011/9/14,1648.203
2011/9/24,1648.225
2011/10/4,1648.197
2011/10/14,1648.271
2011/10/24,1648.246
2011/11/3,1648.088
2011/11/13,1648.261
2011/11/23,1648.109
2011/12/3,1648.119
2011/12/13,1648.126
2011/12/22,1648.125
2013/3/27,1648.273
2013/5/1,1648.413
2013/6/10,1648.018
2013/7/15,1648.047
2013/8/14,1648.27
2013/9/18,1648.119
2013/10/28,1647.665
2013/12/2,1647.671
2014/1/1,1647.989
2014/2/5,1648.025
2014/3/12,1648.058
2014/4/21,1647.715
2014/5/26,1647.864
2014/6/25,1648.188
2014/7/30,1648.132
2014/9/8,1647.506
2014/10/13,1647.388
2014/11/12,1647.799
2014/12/17,1647.828
2015/1/26,1647.387
2015/3/2,1647.443
2015/5/6,1648.094
2015/6/15,1647.946
2015/7/20,1647.79
2015/8/24,1647.528
2015/9/28,1647.316
2015/12/2,1647.796
2016/1/6,1647.853
2016/2/15,1647.485
2016/3/21,1647.624
2016/4/20,1648.05
2016/5/25,1648.249
2016/6/29,1648.481
2016/7/6,1648.414
2016/8/2,1648.379
2016/8/13,1648.07
2016/9/9,1647.952
2016/10/6,1647.831
2016/10/22,1648.084
2016/11/2,1647.981
2016/11/18,1648.188
2016/12/15,1648.141
2017/1/22,1647.882
2017/2/18,1647.813
2017/3/17,1647.947
2017/4/2,1648.224
2017/4/29,1648.347
2017/6/6,1648.224
2017/7/3,1648.249
2017/7/30,1648.234
2017/8/26,1648.11
2017/9/11,1648.267
2017/10/8,1648.102
2017/11/4,1648.004
2017/12/1,1647.992
2017/12/28,1648.052
