Date,WaterLevel
2013/1/25,514.19
2013/2/11,514.26
2013/3/12,515.05
2013/4/9,516.18
2013/5/22,515.73
2013/6/1,
2013/7/3,515.79
2013/8/22,515.69
2013/9/3,515.62
2013/10/7,515.43
2013/11/5,515.35
2013/12/3,515.2
2014/1/14,515.3
2014/2/4,515.39
2014/3/5,515.32
2014/4/8,515.19
2014/5/13,515.24
2014/6/5,515.49
2014/7/3,515.24
2014/8/6,515.04
2014/9/11,515.01
2014/10/7,514.85
2014/11/5,514.8
2014/12/3,514.99
2015/1/8,515.34
2015/2/3,515.62
2015/3/3,516.03
2015/4/7,518.78
2015/5/4,517.63
2015/6/2,517.94
2015/7/1,
2015/8/1,
2015/9/1,
2015/10/5,517.73
2015/11/19,517.84
2015/12/1,517.92
2016/1/1,518.01
2016/2/1,518.09
2016/3/1,518.17
2016/4/4,518.25
2016/5/1,518.41
2016/6/17,518.57
2016/7/6,518.62
2016/8/3,518.47
2016/9/23,518.35
2016/10/17,518.36
2016/11/1,518.38
2016/12/1,518.39
2017/1/1,
2017/2/1,
2017/3/1,518.53
2017/4/1,
2017/5/9,518.92
2017/6/15,519.11
2017/7/18,519
2017/8/16,518.8
2017/9/13,518.6
2017/10/17,518.44
2017/11/23,518.35
2017/12/18,518.35
