Date,WaterLevel
2013/1/11,35.75
2013/2/4,35.78
2013/3/5,35.99
2013/4/10,36.03
2013/5/10,35.98
2013/6/4,35.89
2013/7/5,35.81
2013/8/5,
2013/9/12,35.5
2013/10/30,35.33
2013/11/28,35.3
2013/12/18,35.29
2014/1/23,35.3
2014/2/18,35.3
2014/3/19,35.48
2014/4/28,35.53
2014/5/30,35.54
2014/6/19,35.52
2014/7/22,35.68
2014/8/27,35.29
2014/9/23,35.26
2014/10/29,35.49
2014/11/26,35.55
2014/12/22,36.72
2015/1/28,36.77
2015/2/24,36.81
2015/3/31,37.54
2015/4/21,37.48
2015/5/14,37.36
2015/6/24,37.14
2015/7/30,36.81
2015/8/31,36.59
2015/9/28,36.51
2015/10/29,36.51
2015/11/11,36.45
2015/12/15,36.35
2016/1/1,36.33
2016/2/1,36.32
2016/3/1,36.3
2016/4/1,36.28
2016/5/1,36.27
2016/6/28,36.27
2016/7/25,36.05
2016/8/24,35.88
2016/9/13,35.84
2016/10/24,35.81
2016/11/1,35.71
2016/12/9,35.61
2017/1/13,35.56
2017/2/6,35.59
2016/3/1,
2017/4/20,35.72
2017/5/24,35.66
2017/6/21,35.67
2017/7/19,35.64
2017/8/31,35.4
2017/9/29,35.27
2017/10/1,
2017/11/1,35.17
2017/12/12,35.22
