Date,WaterLevel
2009/1/6,480.635
2009/1/16,480.875
2009/1/17,481.877
2009/2/5,484.187
2009/2/14,484.876
2009/2/21,483.346
2009/2/24,483.803
2009/3/6,483.617
2009/3/16,482.539
2009/3/26,483.68
2009/4/5,482.853
2009/4/15,484.486
2009/4/25,485.601
2009/5/2,486.574
2009/5/5,485.767
2009/5/25,487.32
2009/6/4,486.145
2009/6/23,485.481
2009/7/3,483.259
2009/7/11,480.462
2009/7/23,478.526
2009/8/15,472.545
2009/8/22,471.6
2009/9/1,468.422
2009/9/11,465.858
2009/9/21,464.277
2009/9/30,463.187
2009/10/30,465.433
2009/11/9,463.374
2009/12/19,479.553
2009/12/29,482.623
2010/1/2,485.836
2010/1/18,485.701
2010/2/26,486.612
2010/3/8,485.86
2010/3/28,486.739
2010/4/17,486.425
2010/5/7,486.984
2010/5/22,487.852
2010/5/26,486.668
2010/6/5,486.418
2010/7/5,486.252
2010/7/31,485.003
2010/9/3,478.318
2010/10/9,471.625
2010/11/11,472.641
2010/12/1,478.117
2010/12/11,482.688
2010/12/21,484.342
2010/12/31,483.826
2011/1/10,486.143
2011/1/19,486.025
2011/2/8,486.607
2011/2/28,486.478
2011/3/10,486.629
2011/3/20,486.457
2011/4/9,486.189
2011/4/19,485.406
2011/4/29,485.683
2011/6/17,481.767
2011/6/27,480.208
2011/7/7,478.59
2011/8/6,472.613
2011/8/16,470.344
2011/8/26,467.752
2011/9/5,466.016
2011/9/14,464.234
2011/9/24,461.797
2011/10/4,459.613
2011/10/14,458.906
2011/11/3,460.132
2011/12/13,468.254
2011/12/23,469.924
2012/1/1,471.251
2012/1/11,472.263
2012/3/1,472.54
2012/3/21,471.23
2012/4/20,473.166
2012/4/29,476.963
2012/5/9,482.133
2012/5/29,483.729
2012/6/18,481.925
2012/7/8,480.132
2012/7/18,477.627
2012/8/7,473.388
2012/8/26,467.576
2012/9/5,465.153
2012/9/15,461.928
2012/9/25,459.278
2012/10/5,459.152
2012/12/4,483.831
2012/12/14,484.474
2012/12/23,485.592
2013/1/12,485.438
2013/1/22,486.773
2013/2/11,484.956
2013/2/21,484.891
2013/3/23,483.681
2013/4/12,485.343
2013/4/21,485.769
2013/5/1,486.621
2013/6/20,486.446
2013/6/30,486.579
2013/7/10,485.806
2013/7/20,485.134
2013/7/30,484.35
2013/8/18,481.329
2013/8/28,479.408
2013/10/17,475.617
2013/11/16,481.263
2013/12/6,478.807
2013/12/15,482.886
2014/1/24,485.882
2014/2/3,484.851
2014/2/13,485.318
2014/2/23,484.597
2014/4/23,486.475
2014/5/23,486.665
2014/6/2,487.122
2014/6/12,487.049
2014/6/22,485.93
2014/7/31,483.105
2014/8/10,481.611
2014/8/30,477.403
2014/9/9,475.402
2014/10/19,474.031
2014/10/29,474.063
2014/11/18,476.837
2015/1/6,479.118
2015/2/5,481.865
2015/2/15,484.161
2015/3/7,484.38
2015/3/17,483.969
2015/4/5,484.79
2015/4/15,484.965
2015/4/25,485.36
2015/5/5,486.719
2015/6/4,483.232
2015/6/24,482.914
2015/7/4,480.648
2015/7/14,478.584
2015/7/23,476.656
2015/8/2,475.581
2015/8/12,474.214
2015/9/21,468.968
2015/10/1,467.243
2015/10/11,466.006
2015/11/10,467.688
2015/11/19,468.182
2015/12/29,471.279
2016/1/18,479.078
2016/1/28,480.785
2016/2/7,481.332
2016/3/17,485.96
2016/3/27,486.241
2016/4/16,485.922
2016/5/6,482.65
2016/5/26,486.788
2016/6/5,486.629
2016/6/15,485.997
2016/6/25,484.75
2016/7/24,479.614
2016/8/3,477.643
2016/8/13,475.147
2016/9/2,470.844
2016/9/12,466.702
2016/9/22,463.883
2016/10/2,462.861
2016/10/12,460.327
2016/12/10,477.398
